COMPOSITION_\RESOURCE_	COAL	OIL	METHANE	HYDROGEN	IRON_ORES	INDUSTRIAL_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	FISSILE_FUEL_ORES	HELIUM3_REGOLITH	INDUSTRIAL_MINERALS	THOLINS	STONE	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	ETHANE	AMMONIA	SULFER_DIOXIDE	HELIUM	ARGON_NEON	KRYPTON_XENON
CLASS_C_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
CLASS_S_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
CLASS_M_ASTEROID_STRATUM_UNDIFFERENTIATED					0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
PLANET_EARTH_STRATUM_OCEAN_FLOOR					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_OCEAN_CRUST					1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_USA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_RUSSIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_CHINA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_EU	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_INDIA	2	4	2		1.5	1.5	1.5	1.5	1.5	1.5	1.5		1.5	1	1	1	1	1	1	1	1	1	1	1
