OPERATION_\FACILITY_	PLANET_EARTH_PLAYER_USA	PLANET_EARTH_PLAYER_RUSSIA	PLANET_EARTH_PLAYER_CHINA	PLANET_EARTH_PLAYER_EU	PLANET_EARTH_PLAYER_INDIA	PLANET_EARTH_PLAYER_JAPAN	PLANET_EARTH_PLAYER_OTHER	PLANET_EARTH_PLAYER_NASA	PLANET_EARTH_PLAYER_ROSCOSMOS	PLANET_EARTH_PLAYER_CNSA	PLANET_EARTH_PLAYER_ESA	PLANET_EARTH_PLAYER_ISRO	PLANET_EARTH_PLAYER_JAXA	SPACECRAFT_ISS_PLAYER_NASA	SPACECRAFT_ISS_PLAYER_ROSCOSMOS	SPACECRAFT_ISS_PLAYER_ESA	SPACECRAFT_ISS_PLAYER_JAXA	SPACECRAFT_TIANGONG_PLAYER_CNSA
SOLAR_POWER	5260	10	10189	13238	1176	5579	4549							0.09	0.03			0.04
WIND_POWER	40180	15.4	44733	84000	13065	2304	12333											
TIDAL_POWER																		
HYDROPOWER																		
OIL_POWER																		
COAL_POWER																		
REFINED_FUELS_POWER																		
ETHANOL_POWER																		
METHANE_POWER																		
FISSION_POWER																		
HYDROGEN_POWER																		
OIL_EXTRACTION_SURFACE																		
GAS_EXTRACTION_SURFACE																		
OIL_EXTRACTION_SUBSURF																		
GAS_EXTRACTION_SUBSURF																		
OIL_EXTRACTION_4KM_8KM																		
GAS_EXTRACTION_4KM_8KM																		
IRON_MINING_SURFACE																		
INDUST_METALS_MINING_SURFACE																		
RARE_EARTHS_MINING_SURFACE																		
INDUST_MINERALS_MINING_SURFACE																		
COAL_MINING_SURFACE																		
FISSILE_FUELS_MINING_SURFACE																		
IRON_MINING_SUBSURF																		
INDUST_METALS_MINING_SUBSURF																		
RARE_EARTHS_MINING_SUBSURF																		
INDUST_MINERALS_MINING_SUBSURF																		
COAL_MINING_SUBSURF																		
FISSILE_FUELS_MINING_SUBSURF																		
QUARRYING																		
AIR_CONDENSATION																		
OIL_REFINING																		
OIL_GASIFICATION																		
REFINED_FUELS_GASIFICATION																		
COAL_GASIFICATION																		
THOLINS_GASIFICATION																		
BIOFEEDSTOCK_GASIFICATION																		
WATER_ELECTROLYSIS																		
