id,en
FACILITY_COLONY,Colony
FACILITY_CONSTRUCTION_YARD,Construction Yard
FACILITY_HABITAT,Space Habitat
FACILITY_HOMEWORLD,Homeworld
FACILITY_MINE,Mine
FACILITY_RESORT,Resort
FACILITY_SPACE_FARM,Space Farm
FACILITY_SPACEPORT,Spaceport
FACILITY_STATION,Station
MAJOR_STRATUM_UNDIFFERENTIATED,Undifferentiated
MAJOR_STRATUM_ATMOSPHERE,Atmosphere
MAJOR_STRATUM_HYDROSPHERE,Hydrosphere
MAJOR_STRATUM_CRYOSPHERE,Cryosphere
MAJOR_STRATUM_REGOLITH,Regolith
MAJOR_STRATUM_CRUST,Crust
MAJOR_STRATUM_OCEAN_CRUST,Ocean Crust
MAJOR_STRATUM_UPPER_CRUST,Upper Crust
MAJOR_STRATUM_UPPER_CONT_CRUST,Upper Continental Crust
MAJOR_STRATUM_LOWER_CRUST,Lower Crust
MAJOR_STRATUM_LOWER_CONT_CRUST,Lower Continental Crust
MAJOR_STRATUM_LOWER_CRUST_INTER_LAYER,Lower Crust / Intermediate Layer
MAJOR_STRATUM_MANTLE,Mantle
MAJOR_STRATUM_UPPER_MANTLE,Upper Mantle
MAJOR_STRATUM_LOWER_MANTLE,Lower Mantle
MAJOR_STRATUM_MANTLE_CORE,Mantle / Core
MAJOR_STRATUM_CORE,Core
MAJOR_STRATUM_OUTER_CORE,Outer Core
MAJOR_STRATUM_INNER_CORE,Inner Core
MARKET_CHICAGO_MERC,Chicago Merc
MARKET_INTERPL_CYBER_MARKET,Interpl Cyber Mkt
OP_GROUP_SOLAR_ARRAYS,Solar Arrays
OP_GROUP_WIND_TIDAL_HYDRO,Wind/Tidal/Hydro
OP_GROUP_COMBUSTION_PLANTS,Combustion Plants
OP_GROUP_NUCLEAR_PLANTS,Nuclear Plants
OP_GROUP_FUEL_CELL_PLANTS,Fuel Cell Plants
OP_GROUP_ENERGY_STORAGE_PLANTS,Energy Storage Plants
OP_GROUP_OIL_GAS_WELLS_SURFACE,Near-Surf Oil/Gas Wells
OP_GROUP_OIL_GAS_WELLS_SUBSURF,Subsurf Oil/Gas Wells
OP_GROUP_OIL_GAS_WELLS_4KM_8KM,Deep Oil/Gas Wells
OP_GROUP_MINES_SURFACE,Surface Mines
OP_GROUP_MINES_SUBSURF,Subsurface Mines
OP_GROUP_QUARRIES,Quarries
OP_GROUP_AIR_CONDENSERS,Air Condensers
OP_GROUP_ATMOSPHERE_ACCUMULATORS,Atmos Accumulators
OP_GROUP_BIOL_CREW_QUARTERS,Crew Quarters (biol)
OP_GROUP_URBAN_DEVELOPED,Urban/Developed
OP_GROUP_INDUSTRIAL_FARMS,Industrial Farms
OP_GROUP_SMALL_FARMS,Small Farms
OP_GROUP_CRAFT_FARMS,Craft Farms
OP_GROUP_PARKS,Parks
OP_GROUP_MANAGED_FOREST,Managed Forests
OP_GROUP_WILDERNESS,Wilderness
OP_GROUP_OCEANS,Oceans
OP_GROUP_OIL_REFINERIES,Oil Refineries
OP_GROUP_GASSIFIERS,Gassifiers
OP_GROUP_WATER_ELECTROLYZERS,Water Electrolyzers
OP_GROUP_VOLATILES_CONVERTERS,Volatiles Converters
OP_GROUP_FERMENTORS,Fermentors
OP_GROUP_SMELTERS_KILNS,Smelters & Kilns
OP_GROUP_ISOTOPE_SEPARATORS,Isotope Separators
OP_GROUP_INDUSTRIAL_RECYCLING_PLANTS,Indust Recycling Plants
OP_GROUP_SHIP_STATION_YARDS,Ship/Station Yards
OP_GROUP_CHIP_FABRICATORS,Chip Fabricators
OP_GROUP_MATERIALS_FABRICATORS,Materials Fabricators
OP_GROUP_FACTORIES,Factories
OP_GROUP_CHEMICAL_PLANTS,Chemical Plants
OP_GROUP_SERVER_CLUSTERS,Server Clusters
OP_GROUP_TRADE_SERVICES,Trade Services
OP_GROUP_RECREATION_ENTERTAINMENT,Recreation & Entertain
OP_GROUP_RESEARCH_DEVELOPMENT,Research & Develop
OP_GROUP_EDUCATIONAL_SERVICES,Educational Services
OP_GROUP_HEALTH_SERVICES,Health Services
OP_GROUP_LEGAL_SERVICES,Legal Services
OP_GROUP_ACCOUNTING_SERVICES,Accounting Services
OPERATION_SOLAR_POWER,Solar Power
OPERATION_HYDROPOWER,Hydropower
OPERATION_WIND_POWER,Wind Power
OPERATION_TIDAL_POWER,Tidal Power
OPERATION_OIL_POWER,Oil Power
OPERATION_COAL_POWER,Coal Power
OPERATION_REFINED_FUELS_POWER,Refined Fuels Power
OPERATION_ETHANOL_POWER,Ethanol Power
OPERATION_METHANE_POWER,Methane Power
OPERATION_HYDROGEN_POWER,Hydrogen Power
OPERATION_FISSION_POWER,Fission Power
OPERATION_DT_FUSION_POWER,D-D Fusion Power
OPERATION_DHe3_FUSION_POWER,D-He3 Fusion Power
OPERATION_ENERGY_STORAGE,Energy Storage
OPERATION_OIL_EXTRACTION_SURFACE,Oil Drilling
OPERATION_GAS_EXTRACTION_SURFACE,Gas Drilling
OPERATION_OIL_EXTRACTION_SUBSURF,Oil Drilling
OPERATION_GAS_EXTRACTION_SUBSURF,Gas Drilling
