id,en
BUTTON_IN_ORBIT,In Orbit
BUTTON_LARGE_BODIES,Lg. Bodies
BUTTON_QUICK_START,Quick Start
BUTTON_SET_HM_VIEW,Set Hm
BUTTON_SET_VIEW,Set Vw
BUTTON_SMALL_BODIES,Sm. Bodies
BUTTON_SUBORBITAL,Suborbital
BUTTON_VIEW_2,View 2
BUTTON_VIEW_3,View 3
BUTTON_VIEW_4,View 4
LABEL_ASK,Ask
LABEL_AT_MOON,At Moon
LABEL_AT_MOONS,At Moons
LABEL_BASE_HUMAN,Base Human
LABEL_BID,Bid
LABEL_BID_ASK,Bid/Ask
LABEL_BIODIVERSITY,Biodiversity
LABEL_BIOLOGICALS,Biologicals
LABEL_BIOMASS,Biomass
LABEL_BIOMES,Biomes
LABEL_BIOPRODUCTIVITY,Bioproductivity
LABEL_CAPITAL_INVESTMENTS,Capital Invests.
LABEL_CASH_RESERVES,Cash Reserves
LABEL_CLONE_AND_PIN,Clone & Pin this Panel
LABEL_CLOSE,Close
LABEL_CLOUDS_SURFACE,Clouds/Surface
LABEL_CLOUDS,Clouds
LABEL_COMMONS,Commons
LABEL_COMPUTATIONS,Computations
LABEL_CONSTRUCTIONS,Constructions
LABEL_CONTR,Contr
LABEL_CONTRACTS,Contracts
LABEL_CYBER,Cyber
LABEL_DEPOSITS,Deposits
LABEL_DEVELOPMENT,Development
LABEL_ECONOMY,Economy
LABEL_ENERGY,Energy
LABEL_EVIDENCE,Evidence
LABEL_EXTRACTION,Extraction
LABEL_FACILITIES,Facilities
LABEL_FACILITY,Facility
LABEL_FARMING,Farming
LABEL_FUTURES_MARKETS,Futures Markets
LABEL_GROSS_PRODUCT,Gross Product
LABEL_HABITABLE_AREA,Habitable Area
LABEL_HETEROGENEITY,Heterogeneity
LABEL_HETEROGENEITY_SH,Heterogen
LABEL_HOMEWORLD_GOVERNMENTS,Hmwld Gov'ts
LABEL_IN_TRANSIT,In Transit
LABEL_INDEPENDENTS,Independents
LABEL_INFORMATION,Information
LABEL_IN_ORBIT,In Orbit
LABEL_IN_TRANS,In-trans
LABEL_INVEN,Inven
LABEL_INVENTORY,Inventory
LABEL_LOCK,Lock
LABEL_LOW,Low
LABEL_LUNAR,Lunar
LABEL_MANUFACTURED,Manufactured
LABEL_MANUFACTURING,Manufacturing
LABEL_MARKET,Market
LABEL_MARKETS,Markets
LABEL_MATERIALS,Materials
LABEL_MEAN,Mean
LABEL_MEAN_PERCENT,Mean(%)
LABEL_MINING,Mining
LABEL_NET_INCOME,Net Income
LABEL_NO_DEVELOPMENT,(No Development)
LABEL_NO_MARKETS,(No Markets)
LABEL_NO_MARKETS_SELECT_ENTITY,(Select Entity for Market Data)
LABEL_NO_OPERATIONS,(No Operations)
LABEL_NO_RESOURCES_PARENTHESIS,(No Resources)
LABEL_OFFWORLD,Offworld
LABEL_OFFWORLD_FACILITIES,Offworld Facilities
LABEL_OPERATIONS,Operations
LABEL_ORES,Ores
LABEL_OVERVIEW,Overview
LABEL_PER_CAPITA,per capita
LABEL_PER_CAPITA_MATERIAL,per capita firma
LABEL_POPULATION,Population
LABEL_POWER,Power
LABEL_PRICE,Price
LABEL_PRIVATE_SECTOR,Private Sector
LABEL_REFINING,Refining
LABEL_RESEARCH,Research
LABEL_RESOURCES,Resources
LABEL_SERVICES,Services
LABEL_SPACE_AGENCIES,Space Agencies
LABEL_SPACE_AGENCY,Space Agency
LABEL_SPACE_COMPANIES,Space Companies
LABEL_SPACEFARING_POLITIES,Spacefaring Polities
LABEL_STATION,Station
LABEL_SURF_ATMOS,Surf/Atmos
LABEL_SURFACE_ATMOSPHERE,Surface/Atmosphere
LABEL_SURFACE,Surface
LABEL_SYSTEM,System
LABEL_SYSTEM_FACILITIES,System Facilities
LABEL_TERRITORIAL,Territorial
LABEL_UNCERTAINTY,Uncertainty
LABEL_UNCERTAINTY_SH,Uncert
LABEL_UNKNOWN_RESOURCES_PARENTHESIS,(Unknown Resources)
LABEL_VOLATILES,Volatiles
LABEL_VOLUME,Volume
TAB_DEVELOPMENT,Development
TAB_OPERATIONS,Operations
TAB_MARKETS,Markets
TAB_RESOURCES,Resources
TAB_INFORMATION,Info
TAB_OPS_ENERGY,Energy
TAB_OPS_EXTRACTION,Extraction
TAB_OPS_REFINING,Refining
TAB_OPS_MANUFACTURING,Manuf
TAB_OPS_BIOMES,Biomes
TAB_OPS_SERVICES,Services
TAB_MKS_ENERGY,Energy
TAB_MKS_ORES,Ores
TAB_MKS_VOLATILES,Volatiles
TAB_MKS_MATERIALS,Materials
TAB_MKS_MANUFACTURED,Manuf
TAB_MKS_BIOLOGICALS,Biol
TAB_MKS_CYBER,Cyber
TXT_SPECIES,Species
