	is_total	majority_offworld_type	offworld_population	population	energy
Type	BOOL	STRING_NAME	FLOAT	FLOAT	FLOAT
Default	TRUE				
Unit					W
Prefix/ACHIEVEMENT_					
MAJORITY_OFFWORLD_POPULATION		POPULATION			
MAJORITY_OFFWORLD_ECONOMY		ECONOMY			
MAJORITY_OFFWORLD_ENERGY		ENERGY			
MAJORITY_OFFWORLD_MANUFACTURING		MANUFACTURING			
MAJORITY_OFFWORLD_CONSTRUCTIONS		CONSTRUCTIONS			
MAJORITY_OFFWORLD_COMPUTATION		COMPUTATION			
MAJORITY_OFFWORLD_INFORMATION		INFORMATION			
MAJORITY_OFFWORLD_BIOPRODUCTION		BIOPRODUCTION			
MAJORITY_OFFWORLD_BIOMASS		BIOMASS			
MAJORITY_OFFWORLD_BIODIVERSITY		BIODIVERSITY			
OFFWORLD_POPULATION_1E3			1e3		
OFFWORLD_POPULATION_1E4			1e4		
OFFWORLD_POPULATION_1E5			1e5		
OFFWORLD_POPULATION_1E6			1e6		
OFFWORLD_POPULATION_1E7			1e7		
OFFWORLD_POPULATION_1E8			1e8		
OFFWORLD_POPULATION_1E9			1e9		
POPULATION_1E11				1e11	
POPULATION_1E12				1e12	
POPULATION_1E13				1e13	
POPULATION_1E14				1e14	
POPULATION_1E15				1e15	
KARDASHEV_TYPE_0_8					1e14
KARDASHEV_TYPE_0_9					1e15
KARDASHEV_TYPE_1_0					1e16
KARDASHEV_TYPE_1_1					1e17
KARDASHEV_TYPE_1_2					1e18
KARDASHEV_TYPE_1_3					1e19
KARDASHEV_TYPE_1_4					1e20
KARDASHEV_TYPE_1_5					1e21
KARDASHEV_TYPE_1_6					1e22
KARDASHEV_TYPE_1_7					1e23
KARDASHEV_TYPE_1_8					1e24
KARDASHEV_TYPE_1_9					1e25
KARDASHEV_TYPE_2_0					1e26
