	init_open	#reveal_tech	#mine_tech	#well_tech	body_class	body	stratum	polity	outer_depth	thickness	spherical_fraction	area	density	#volume	#mass	inner_pressure	survey
Type	BOOL	INT	INT	INT	INT	STRING_NAME	INT	STRING_NAME	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT
Unit									km	km		km^2	g/cm^3	km^3	t	Pa	
Default									0								
Prefix/COMPOSITION_					BODY_CLASS_		STRATUM_	POLITY_									SURVEY_
CLASS_C_ASTEROID_STRATUM_BULK	x				C_ASTEROID		BULK				1		2.0				TYPED
CLASS_S_ASTEROID_STRATUM_BULK	x				S_ASTEROID		BULK				1		2.64				TYPED
CLASS_M_ASTEROID_STRATUM_BULK	x				M_ASTEROID		BULK				1		5.0				TYPED
PLANET_EARTH_STRATUM_ATMOSPHERE	x					PLANET_EARTH	ATMOSPHERE		-82	82	1		1.23e-4	4.18e10	5.15e15	1.01e5	KNOWN
PLANET_EARTH_STRATUM_OCEAN						PLANET_EARTH	OCEAN			3.6		3.61e8	1.03	1.31e9	1.39e18		KNOWN
PLANET_EARTH_STRATUM_OCEAN_FLOOR						PLANET_EARTH	OCEAN_FLOOR		3.6	0.1		3.61e8	2.9				EXPLORED
PLANET_EARTH_STRATUM_OCEAN_CRUST						PLANET_EARTH	OCEAN_CRUST		3.7	7.5		3.61e8	2.9				THEORY
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_USA	x					PLANET_EARTH	CONT_SURFACE	USA	-0.8	0.8		9.83e6	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_RUSSIA	x					PLANET_EARTH	CONT_SURFACE	RUSSIA	-0.8	0.8		1.71e7	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_CHINA	x					PLANET_EARTH	CONT_SURFACE	CHINA	-0.8	0.8		9.60e6	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_EU	x					PLANET_EARTH	CONT_SURFACE	EU	-0.8	0.8		4.23e6	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_INDIA	x					PLANET_EARTH	CONT_SURFACE	INDIA	-0.8	0.8		3.29e6	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_JAPAN	x					PLANET_EARTH	CONT_SURFACE	JAPAN	-0.8	0.8		3.78e5	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_OTHER						PLANET_EARTH	CONT_SURFACE	OTHER	-0.8	0.8		9.03e7	2.7				SURVEYED_5
PLANET_EARTH_STRATUM_CONT_SURFACE_ANTARCTICA						PLANET_EARTH	CONT_SURFACE_ANTARCTICA		-0.8	0.8		1.42e7	2.7				EXPLORED
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_USA						PLANET_EARTH	CONT_SUBSURF	USA		4		9.83e6	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_RUSSIA						PLANET_EARTH	CONT_SUBSURF	RUSSIA		4		1.71e7	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_CHINA						PLANET_EARTH	CONT_SUBSURF	CHINA		4		9.60e6	2.7				SURVEYED_2
