COMPOSITION_\RESOURCE_	COAL	OIL	METHANE	ETHANE	HYDROGEN	HELIUM3	IRON_ORES	ALUMINIUM_ORES	INDUSTRIAL_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	INDUSTRIAL_MINERALS	THOLINS	STONE	REGOLITH	IRON	INDUSTRIAL_METALS	PRECIOUS_METALS	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	SULFUR_DIOXIDE	HELIUM	ARGON_NEON	KRYPTON_XENON
CLASS_C_ASTEROID_STRATUM_BULK			2.24	0.32			12.4	2.9	6	0.003	0.003	0.003	10	2.24	25	25				10		0.32	2.24	0.32	0.32	0.32	0.03	0.32	0.00011
CLASS_S_ASTEROID_STRATUM_BULK			0.32	0.32			11	5	7.5	0.015	0.03	0.03	10	0.32	27.4	27.4	7.5	0.38	0.0000015	1.6		0.03	0.32	0.32	0.03	0.32	0.03	0.32	0.00011
CLASS_M_ASTEROID_STRATUM_BULK			0.32	0.32			3	1	3	0.015	0.016	0.016	10	0.32	19.7	19.7	38	2.9	0.000029	0.32		0.03	0.32	0.32	0.03	0.32	0.03	0.32	0.00011
PLANET_EARTH_STRATUM_ATMOSPHERE			0.00019		0.00006															1	20.95	78.08	0.0413				0.00052	0.9358	0.00011
PLANET_EARTH_STRATUM_OCEAN													3.5							96.5	7.1e-4	1.1e-3	2.8e-3						
PLANET_EARTH_STRATUM_OCEAN_FLOOR							10	30	1.5	0.0003	0.15	0.003	15		21.1	21.1													
PLANET_EARTH_STRATUM_OCEAN_CRUST							12	30	1.5	0.0003	0.15	0.003	15		35	5													
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_USA	0.008325	0.000465	0.000395	0.0000395			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_RUSSIA	0.0067	0.000303	0.000925	0.0000925			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_CHINA	0.00683	0.0000887	0.000157	0.0000157			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_EU	0.005125	0.0001045	0.000134	0.0000134			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_INDIA	0.02115	0.0000775	0.000142	0.0000142			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_JAPAN	0.00098	0.00011275	0.00008825	0.000008825			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_POLITY_OTHER	0.003065	0.000845	0.000486	0.0000486			6.4	30	6	0.003	0.3	0.03	15		21	21				0.5							2e-6		
PLANET_EARTH_STRATUM_CONT_SURFACE_ANTARCTICA	0.0092	0.00106	0.000831	0.0000831			6.4	30	6	0.003	0.3	0.03	15		21	21				16							2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_USA	0.0333	0.00186	0.00158	0.000158			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_RUSSIA	0.0134	0.000606	0.00185	0.000185			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_CHINA	0.0205	0.000266	0.000471	0.0000471			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
