OPERATION_\FACILITY_	PLANET_EARTH_PLAYER_USA	PLANET_EARTH_PLAYER_RUSSIA	PLANET_EARTH_PLAYER_CHINA	PLANET_EARTH_PLAYER_EU	PLANET_EARTH_PLAYER_INDIA	PLANET_EARTH_PLAYER_JAPAN	PLANET_EARTH_PLAYER_OTHER	PLANET_EARTH_PLAYER_NASA	PLANET_EARTH_PLAYER_ROSCOSMOS	PLANET_EARTH_PLAYER_CNSA	PLANET_EARTH_PLAYER_ESA	PLANET_EARTH_PLAYER_ISRO	PLANET_EARTH_PLAYER_JAXA	SPACECRAFT_ISS_PLAYER_NASA	SPACECRAFT_ISS_PLAYER_ROSCOSMOS	SPACECRAFT_ISS_PLAYER_ESA	SPACECRAFT_ISS_PLAYER_JAXA	SPACECRAFT_TIANGONG_PLAYER_CNSA
OIL_SURFACE_DRILLING	20	160	70	12	16	1	255											
OIL_SUBSURFACE_DRILLING	160	200	75	80	9.5	1.7	392											
OIL_DEEP_DRILLING	26	17	5	28	0.5	1	42											
GAS_SURFACE_DRILLING	108	459	25	26	29	12	291											
GAS_SUBSURFACE_DRILLING	867	574	27	172	20	20	447											
GAS_DEEP_DRILLING	141	49	1.8	60	1	11	48											
COAL_SURFACE_MINING																		
COAL_SUBSURFACE_MINING																		
URANIUM_SURFACE_MINING																		
URANIUM_SUBSURFACE_MINING																		
IRON_SURFACE_MINING																		
IRON_SUBSURFACE_MINING																		
ALUMINIUM_SURFACE_MINING																		
ALUMINIUM_SUBSURFACE_MINING																		
INDUST_METALS_SURFACE_MINING																		
INDUST_METALS_SUBSURFACE_MINING																		
RARE_EARTHS_SURFACE_MINING																		
RARE_EARTHS_SUBSURFACE_MINING																		
INDUST_MINERALS_SURFACE_MINING																		
INDUST_MINERALS_SUBSURFACE_MINING																		
STONE_QUARRYING																		
REGOLITH_QUARRYING																		
@ENUM_X_ENUM																		
@DATA_TYPE=FLOAT																		
@DATA_DEFAULT=NAN																		
@TRANSPOSE																		
# Game start effective rate; sets capacity																		
# considering resource deposit reduction.																		
# Overrides _capacities.tsv values.																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
