OPERATION_\FACILITY_	PLANET_EARTH_PLAYER_USA	PLANET_EARTH_PLAYER_RUSSIA	PLANET_EARTH_PLAYER_CHINA	PLANET_EARTH_PLAYER_EU	PLANET_EARTH_PLAYER_INDIA	PLANET_EARTH_PLAYER_JAPAN	PLANET_EARTH_PLAYER_OTHER	PLANET_EARTH_PLAYER_NASA	PLANET_EARTH_PLAYER_ROSCOSMOS	PLANET_EARTH_PLAYER_CNSA	PLANET_EARTH_PLAYER_ESA	PLANET_EARTH_PLAYER_ISRO	PLANET_EARTH_PLAYER_JAXA	SPACECRAFT_ISS_PLAYER_NASA	SPACECRAFT_ISS_PLAYER_ROSCOSMOS	SPACECRAFT_ISS_PLAYER_ESA	SPACECRAFT_ISS_PLAYER_JAXA	SPACECRAFT_TIANGONG_PLAYER_CNSA
SOLAR_POWER	0.199	0.129	0.118	0.121	0.176	0.139	0.135	0.199	0.129	0.118	0.121	0.176	0.139	0.5	0.5	0.5	0.5	0.5
WIND_POWER	0.4	0.3	0.35	0.38	0.35	0.35	0.35	0.4	0.3	0.35	0.38	0.35	0.35					
TIDAL_POWER	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28					
HYDROPOWER	0.41	0.43	0.4	0.3	0.35	0.33	0.37	0.41	0.43	0.4	0.3	0.35	0.33					
GEOTHERMAL_POWER	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75					
@ENUM_X_ENUM																		
@DATA_TYPE=FLOAT																		
@DATA_DEFAULT=NAN																		
@TRANSPOSE																		
# max renewable utilization																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
