	1	2	3	4	5	6	7	biodiversity_index	information
Type	STRING_NAME	STRING_NAME	STRING_NAME	STRING_NAME	STRING_NAME	STRING_NAME	STRING_NAME	FLOAT	FLOAT
Unit								0.1	4.39e19
Default								0	0
Prefix	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_	FACILITY_PLANET_EARTH_PLAYER_		
	USA							2	12
	RUSSIA							0.9	3
	CHINA							2.2	8
	EU							1.4	10
	INDIA							2.4	5
	JAPAN							0.7	8
	OTHER							4.9	8
	USA	RUSSIA						0	
	USA	CHINA						0	
	USA	EU						0	2
	USA	INDIA						0	
	USA	JAPAN						0	
	USA	OTHER						4	2
	RUSSIA	CHINA						0.5	
	RUSSIA	EU						0.5	
	RUSSIA	INDIA						0	
	RUSSIA	JAPAN						0.1	
	RUSSIA	OTHER						1.3	
	CHINA	EU						0	
	CHINA	INDIA						0.5	
	CHINA	JAPAN						0.1	
	CHINA	OTHER						3.1	
	EU	INDIA						0	
	EU	JAPAN						0	
	EU	OTHER						2.7	1
	INDIA	JAPAN						0	
	INDIA	OTHER						4.6	
	JAPAN	OTHER						0.4	
	USA	RUSSIA	CHINA					0	
	USA	RUSSIA	EU					0	
	USA	RUSSIA	INDIA					0	
	USA	RUSSIA	JAPAN					0	
	USA	RUSSIA	OTHER					0	
	USA	CHINA	EU					0	
	USA	CHINA	INDIA					0	
	USA	CHINA	JAPAN					0	
	USA	CHINA	OTHER					0	
	USA	EU	INDIA					0	
	USA	EU	JAPAN					0	
	USA	EU	OTHER					0	1
	USA	INDIA	JAPAN					0	
	USA	INDIA	OTHER					0	
	USA	JAPAN	OTHER					0	
	RUSSIA	CHINA	EU					0.1	
	RUSSIA	CHINA	INDIA					0	
	RUSSIA	CHINA	JAPAN					0	
	RUSSIA	CHINA	OTHER					0.1	
	RUSSIA	EU	INDIA					0	
	RUSSIA	EU	JAPAN					0	
	RUSSIA	EU	OTHER					0.1	
	RUSSIA	INDIA	JAPAN					0	
	RUSSIA	INDIA	OTHER					0	
	RUSSIA	JAPAN	OTHER					0	
	CHINA	EU	INDIA					0	
	CHINA	EU	JAPAN					0	
	CHINA	EU	OTHER					0	
	CHINA	INDIA	JAPAN					0	
	CHINA	INDIA	OTHER					0.3	
	CHINA	JAPAN	OTHER					0.1	
	EU	INDIA	JAPAN					0	
	EU	INDIA	OTHER					0	
	EU	JAPAN	OTHER					0	
	INDIA	JAPAN	OTHER					0	
	USA	RUSSIA	CHINA	EU				0	
	USA	RUSSIA	CHINA	INDIA				0	
	USA	RUSSIA	CHINA	JAPAN				0	
	USA	RUSSIA	CHINA	OTHER				0	
	USA	RUSSIA	EU	INDIA				0	
	USA	RUSSIA	EU	JAPAN				0	
	USA	RUSSIA	EU	OTHER				0	
	USA	RUSSIA	INDIA	JAPAN				0	
	USA	RUSSIA	INDIA	OTHER				0	
	USA	RUSSIA	JAPAN	OTHER				0	
	USA	CHINA	EU	INDIA				0	
	USA	CHINA	EU	JAPAN				0	
	USA	CHINA	EU	OTHER				0	
	USA	CHINA	INDIA	JAPAN				0	
	USA	CHINA	INDIA	OTHER				0	
	USA	CHINA	JAPAN	OTHER				0	
	USA	EU	INDIA	JAPAN				0	
	USA	EU	INDIA	OTHER				0	
	USA	EU	JAPAN	OTHER				0	
	USA	INDIA	JAPAN	OTHER				0	
	RUSSIA	CHINA	EU	INDIA				0	
	RUSSIA	CHINA	EU	JAPAN				0	
	RUSSIA	CHINA	EU	OTHER				0	
	RUSSIA	CHINA	INDIA	JAPAN				0	
	RUSSIA	CHINA	INDIA	OTHER				0	
	RUSSIA	CHINA	JAPAN	OTHER				0	
	RUSSIA	EU	INDIA	JAPAN				0	
	RUSSIA	EU	INDIA	OTHER				0	
	RUSSIA	EU	JAPAN	OTHER				0	
	RUSSIA	INDIA	JAPAN	OTHER				0	
	CHINA	EU	INDIA	JAPAN				0	
	CHINA	EU	INDIA	OTHER				0	
	CHINA	EU	JAPAN	OTHER				0	
	CHINA	INDIA	JAPAN	OTHER				0	
	EU	INDIA	JAPAN	OTHER				0	
	USA	RUSSIA	CHINA	EU	INDIA			0	
	USA	RUSSIA	CHINA	EU	JAPAN			0	
	USA	RUSSIA	CHINA	EU	OTHER			0	
	USA	RUSSIA	CHINA	INDIA	JAPAN			0	
	USA	RUSSIA	CHINA	INDIA	OTHER			0	
	USA	RUSSIA	CHINA	JAPAN	OTHER			0	
	USA	RUSSIA	EU	INDIA	JAPAN			0	
	USA	RUSSIA	EU	INDIA	OTHER			0	
	USA	RUSSIA	EU	JAPAN	OTHER			0	
	USA	RUSSIA	INDIA	JAPAN	OTHER			0	
	USA	CHINA	EU	INDIA	JAPAN			0	
	USA	CHINA	EU	INDIA	OTHER			0	
	USA	CHINA	EU	JAPAN	OTHER			0	
	USA	CHINA	INDIA	JAPAN	OTHER			0	
	USA	EU	INDIA	JAPAN	OTHER			0	
	RUSSIA	CHINA	EU	INDIA	JAPAN			0	
	RUSSIA	CHINA	EU	INDIA	OTHER			0	
	RUSSIA	CHINA	EU	JAPAN	OTHER			0	
	RUSSIA	CHINA	INDIA	JAPAN	OTHER			0	
	RUSSIA	EU	INDIA	JAPAN	OTHER			0	
	CHINA	EU	INDIA	JAPAN	OTHER			0	
	USA	RUSSIA	CHINA	EU	INDIA	JAPAN		0	
	USA	RUSSIA	CHINA	EU	INDIA	OTHER		1	
	USA	RUSSIA	CHINA	EU	JAPAN	OTHER		0	
	USA	RUSSIA	CHINA	INDIA	JAPAN	OTHER		0	
	USA	RUSSIA	EU	INDIA	JAPAN	OTHER		0	
