id,en
TXT_AIR,Air
TXT_ALUMINIUM,Aluminium
TXT_ALUMINIUM_ORES,Aluminium Ores
TXT_BATTERIES,Batteries
TXT_BIOFEEDSTOCK,Biofeedstock
TXT_COAL,Coal
TXT_CONSUMER_GOODS,Consumer Goods
TXT_DEUTERIUM,Deuterium
TXT_ETHANOL,Ethanol
TXT_FEEDSTOCKS,Feedstocks
TXT_FERTILIZERS,Fertilizers
TXT_FIBERS,Fibers
TXT_FINE_CHEMICALS,Fine Chemicals
TXT_FISSILE_FUELS,Fissile Fuels
TXT_FOODS,Foods
TXT_GAS,Gas
TXT_GEOTHERMAL,Geothermal
TXT_REGOLITH,Regolith
TXT_HANDCRAFTS,Handcrafts
TXT_HEAVY_MACHINERY,Heavy Machinery
TXT_HELIUM3,Helium-3
TXT_HYDRO,Hydro
TXT_HYDROGEN,Hydrogen
TXT_INDUST_CHEMICALS,Industrial Chemicals
TXT_INDUST_METAL_ORES,Industrial Metal Ores
TXT_INDUST_METALS,Industrial Metals
TXT_INDUST_MINERALS,Industrial Minerals
TXT_IRON,Iron
TXT_IRON_ORES,Iron Ores
TXT_LEU_FISSION,LEU Fission
TXT_LUXURY_GOODS,Luxury Goods
TXT_METHANE,Methane
TXT_MOONS,Moons
TXT_OFF_EARTH,Off-Earth
TXT_OIL,Oil
TXT_PHARMACEUTICALS,Pharmaceuticals
TXT_PLASTICS_POLYMERS,Plastics/Polymers
TXT_PRECIOUS_METAL_ORES,Precious Metal Ores
TXT_PRECIOUS_METALS,Precious Metals
TXT_RARE_EARTH_ORES,Rare Earth Ores
TXT_RARE_EARTHS,Rare Earths
TXT_REFINED_FUELS,Refined Fuels
TXT_ROBOTS,Robots
TXT_SOLAR,Solar
TXT_SPACE,Space
TXT_SPECIES,Species
TXT_SPECTRAL,Spectral
TXT_STONE,Stone
TXT_SYNTHETIC_FIBERS,Synthetic Fibers
TXT_THEORY,Theory
TXT_THOLINS,Tholins
TXT_TIDAL,Tidal
TXT_URANIUM,Uranium
TXT_URANIUM_ORES,Uranium Ores
TXT_WATER,Water
TXT_WIND,Wind
TXT_WOODS,Woods
