FACILITY_\RESOURCE_	ELECTRICITY	HYDROGEN	METHANE	METHANOL	ETHANOL	LIQ_HYDROCARBONS	SOLID_FUELS	COAL	OIL	LE_URANIUM_FUEL	HE_URANIUM_FUEL	THORIUM_FUEL	DEUTERIUM	HELIUM_3	SPENT_URANIUM_FUEL	SPENT_THORIUM_FUEL	IRON_NICKEL	IRON_ORES	ALUMINIUM_ORES	INDUST_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	SULFUR	ORGANICS_THOLINS	INDUST_MINERALS	STONE	REGOLITH	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	ETHANE	SULFUR_DIOXIDE	HELIUM	ARGON	HEAVY_NOBLE_GASES	INDUST_CHEMICALS	FINE_CHEMICALS	IRON	STEEL	ALUMINIUM	INDUST_METALS	PRECIOUS_METALS	RARE_EARTHS	URANIUM	THORIUM	CARBON	CONCRETE	GLASS_CERAMICS	SEMICONDUCTOR_MAT	POLYMERS	COMPOSITES	TECHNICAL_TEXTILES	MUNICIPAL_WASTE	INDUST_WASTE	RADIOACTIVE_WASTE	STEEL_STRUCTURES	ALUMINIUM_STRUCTURES	COMPOSITE_STRUCTURES	HEAVY_MACHINERY	ELECTRICAL_EQUIPMENT	PRECISION_EQUIPMENT	ELECTRONICS	TENSOR_PROCESSORS	NEUROMORPHIC_PROCESSORS	TRANSPORT_SYSTEMS	ROBOTICS	SOLAR_PANELS	BATTERIES	CONSUMER_GOODS	SPECIALTY_GOODS	CROP_PROD	ANIMAL_PROD	PACKAGED_MEALS	ARTISANAL_FOODS	ARTISANAL_GOODS	BIOFIBERS	LUMBER_WOOD_PROD	ALGAL_MICROBIAL_PROD	BIOFEEDSTOCK	BIOCHEMICALS	PHARMACEUTICALS	FERTILIZERS	SOIL_GROWTH_MEDIA	BIOWASTE
PLANET_EARTH_PLAYER_USA	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	1.1e9	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_RUSSIA	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	9.9e8	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_CHINA	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	1.01e9	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_EU	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	9.99e8	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_INDIA	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	1.001e9	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_JAPAN	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	9.999e8	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_OTHER	1e9 MWh	1000	1e9			1000		1e9	1e9	1e6	1000		10 kg	0.1 kg				100000	1000	1000	100	100	10			1e4	1e6	1e6	1e9	1e5	1e6	1e6	1e5	1000	1e9	1000	1e5	1000	100 kg	1e4	100 kg		1e9	1e9	1e9	100 kg	100 kg				1e9	1e5		1e9	100					1e7	1e7	1e7	1e5	1e9						100	100	1000	1e4	100 kg			1e6	1e5		1e4	1e6		1e6		100 kg	1e5		1e9
PLANET_EARTH_PLAYER_NASA																																																																																								
PLANET_EARTH_PLAYER_ROSCOSMOS																																																																																								
PLANET_EARTH_PLAYER_CNSA																																																																																								
