MODULE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
SOLAR_ARRAYS	2.75e4	680	5.85e4	1.32e5	6.80e3	4.63e4	3.72e4							0.084	0.028			3.00e-3
GEOTHERMAL_PLANTS	2.60e3	82	27	1.60e3		520	8.19e3
HYDROELECTRIC_DAMS	1.02e5	5.15e4	3.20e5	2.06e5	4.50e4	4.90e4	4.36e5
WIND_FARMS	7.40e4	111	1.31e5	1.47e5	2.50e4	3.04e3	5.19e4
TIDAL_POWER_STATIONS				260			270
COMBUSTION_POWER_PLANTS	0;4.99e5;0;2.00e3;5.00e3;4.00e4;2.81e5	0;1.20e5;0;0;0;1.00e4;4.20e4	0;6.60e4;0;0;0;4.30e3;9.00e5	0;2.10e5;0;0;2.00e3;5.50e4;1.55e5	0;2.40e4;0;0;1.00e3;0;1.85e5	0;8.00e4;0;0;3.00e3;4.00e4;4.70e4	0;6.14e5;0;5.00e3;2.50e4;2.45e5;3.06e5
FUEL_CELLS	230;70;10			100;0;0		110;0;0
LEU_NUCLEAR_PLANTS	9.90e4	2.60e4	2.72e4	1.24e5	5.80e3	4.03e4	6.12e4
HEU_NUCLEAR_REACTORS
THORIUM_NUCLEAR_PLANTS
D_T_FUSION_PLANTS
D_3HE_FUSION_PLANTS
3HE_3HE_FUSION_PLANTS
RADIOISOTOPE_GENERATORS
CONT_SURFACE_DRILLING_RIGS
CONT_NEAR_SURFACE_DRILLING_RIGS	351;349	905;2.62e3	290;756	132;263	37.3;130	9.02;3.52	2.02e3;9.17e3
CONT_SUBSURFACE_DRILLING_RIGS	1.40e4;2.06e4	1.06e4;2.63e4	2.39e3;8.46e3	4.32e3;7.39e3	412;1.47e3	55.0;20.0	2.25e4;1.03e5
CONT_DEEP_SUBSURFACE_DRILLING_RIGS	2.49e4;3.67e4	1.59e4;2.47e4	3.48e3;9.90e3	5.05e3;7.43e3	611;1.72e3	49.2;18.5	3.29e4;1.20e5
CONT_EXTREME_SUBSURFACE_DRILLING_RIGS	1.88e4	7.90e3	1.74e3	2.50e3	306		1.65e4
CONT_SURFACE_MINES	485;80.1;0;1.01e3;527;1.95;19.9;0;0;447	746;132;8.10;958;658;9.21;5.02;0.140;67.5;375	1.95e3;457;73.7;2.59e3;1.32e3;3.67;69.6;0.680;22.2;2.90e3	275;104;4.14;437;132;2.58;0;0.540;94.8;772	1.52e3;240;36.9;367;87.8;2.23;5.02;0;0;281	0;0;0;0;0;0;0;0.100;0;55.9	3.93e3;5.76e3;308;1.15e4;1.52e4;255;50.1;0.670;33.2;4.31e3
CONT_NEAR_SURFACE_MINES	1.04e3;132;0;1.05e3;372;4.27;17.6;0;0;964	1.10e3;416;7.31;894;1.11e3;23.8;3.38;0.270;185;556	8.40e3;1.35e3;65.5;3.13e3;1.74e3;9.02;39.2;1.88;67.7;6.07e3	767;359;3.68;417;119;5.24;0;0.710;240;1.35e3	1.78e3;496;43.7;450;56.5;4.55;3.38;0;0;573	0;0;0;0;0;0;0;0.270;0;152	5.26e3;1.09e4;275;1.39e4;1.45e4;530;34.0;1.38;80.5;8.35e3
CONT_SUBSURFACE_MINES	4.41e3;75.0;0;1.50e3;1.90e3;19.8;16.1;0;0;767	1.54e3;394;5.57;874;1.53e3;37.8;3.06;0.130;141;552	2.86e4;1.60e3;61.8;3.64e3;3.08e3;19.1;62.0;0.640;70.7;4.83e3	3.59e3;465;4.12;561;266;9.38;0;0.380;267;1.08e3	2.50e3;235;26.9;437;76.8;5.68;3.05;0;0;456	0;0;0;0;0;0;0;0.130;0;121	7.46e3;4.46e3;214;1.35e4;2.95e4;663;30.4;0.630;80.1;7.78e3
CONT_DEEP_SUBSURFACE_MINES	2.88e3;0;0;888;1.15e3;9.62;0;0;0;0	1.33e3;277;0;719;962;19.4;0;0;0;0	1.89e4;1.10e3;0;2.99e3;1.93e3;9.62;0;0;0;0	3.15e3;432;0;599;291;9.68;0;0;0;0	2.17e3;0;0;356;67.5;4.05;0;0;0;0		6.44e3;0;0;1.12e4;4.70e4;340;0;0;0;0
CONT_SURFACE_QUARRIES	1.40e3;522	351;192	1.05e4;6.81e3	2.11e3;954	1.05e3;486	351;168	7.02e3;5.86e3
ATMOSPHERE_PROCESSORS	749	321	2.20e3	749	321	321	1.64e3
REGOLITH_VOLATILES_EXTRACTION_PLANTS
HYDROCARBON_BODIES_PROCESSORS
OCEAN_DESALINATION_PLANTS	1.09e3		7.13e3	1.48e3	4.19e3	488	1.88e4
CONT_SURFACE_BRINE_PROCESSING_PLANTS	388	77.7	388	155	155		2.33e3
OIL_REFINERIES	1.02e5	3.69e4	8.22e4	7.94e4	2.67e4	2.21e4	2.01e5
IRON_NICKEL_REFINERIES
STEEL_MILLS	4.31e3;4.31e3;654;8.11e3	7.88e3;7.88e3;588;3.29e3	1.25e5;1.25e5;0;7.99e3	1.59e4;1.59e4;0;1.15e4	6.63e3;6.63e3;3.98e3;4.13e3	1.30e4;1.30e4;0;4.35e3	3.29e4;3.29e4;2.53e3;1.52e4
SOLAR_FURNACES
ALUMINIUM_SMELTERS	1.13e3	2.47e3	2.26e4	2.97e3	1.69e3		1.01e4
INDUST_METALS_SMELTERS	1.36e3	1.36e3	1.22e4	2.71e3	1.36e3	2.17e3	5.97e3
PRECIOUS_METALS_REFINERIES	230	230	921	691	276	322	1.93e3
RARE_EARTHS_REFINERIES		0.795	35.0	0.636	0.477	0.954	3.50
URANIUM_PROCESSING_PLANTS	1.99	4.73	2.44	0.458	0.611		67.7
REGOLITH_PROCESSING_PLANTS
ISOTOPE_SEPARATION_PLANTS
RECYC_CENTERS	7.14e4	1.65e4	5.49e4	6.87e4	1.70e4	1.21e4	3.09e5
INDUST_RECYC_FACILITIES	6.97e4	2.32e4	1.86e5	9.29e4	2.32e4	2.32e4	4.64e4
NUCLEAR_FUEL_REPROCESSING_PLANTS		0.127;0	0.0158;0	0.824;0	0.0951;1.58e-3	0.254;0
ELECTROLYSIS_PLANTS	264;0	88;0	527;0	440;0	88;0	176;0	176;0
CATALYTIC_REACTOR_PLANTS	0;7.94e3;6.36e3;0;0;18;5;1.34e3	0;4.24e3;3.39e3;0;0;18;3;1.79e3	0;1.06e4;8.47e3;0;0;202;5;7.14e3	0;7.94e3;6.36e3;0;0;18;3;2.23e3	0;2.65e3;2.12e3;0;0;0;0;1.79e3	0;2.65e3;2.12e3;0;0;0;0;223	0;1.69e4;1.36e4;0;0;110;142;7.81e3
GASIFICATION_PLANTS	985;296		2.63e4;296	985;591	657;296		3.94e3;493
PYROLYSIS_PLANTS	0;1.56e3;18	0;3.11e3;18	0;6.95e4;92	0;5.19e3;37	0;5.19e3;184	0;3.11e3;0	0;1.61e4;1.49e3
POLYMER_PLANTS	1.29e4	1.43e3	2.01e4	1.29e4	2.15e3	2.15e3	2.01e4
