OPERATION_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
SOLAR_POWER	132;0;0	88;0;0	96;0;0	88;0;0	125;0;0	96;0;0	118;0;0							550;0;0	550;0;0			550;0;0
GEOTHERMAL_POWER	737;0;0	600;0;0	500;0;0	750;0;0		700;0;0	750;0;0											
HYDROPOWER	280;0;0	377;0;0	403;0;0	349;0;0	330;0;0	214;0;0	403;0;0											
WIND_POWER	293;0;0	103;0;0	162;0;0	241;0;0	151;0;0	188;0;0	242;0;0											
TIDAL_POWER				280;0;0			250;0;0											
HYDROGEN_POWER																		
METHANE_POWER	305;0;0	504;0;0	291;0;0	304;0;0	228;0;0	640;0;0	500;0;0											
METHANOL_POWER																		
ETHANOL_POWER	200;0;0						400;0;0											
LIQ_HYDROCARBONS_POWER	150;0;0			100;0;0	200;0;0	200;0;0	250;0;0											
OIL_POWER	80;0;0	114;0;0	186;0;0	73;0;0		214;0;0	350;0;0											
COAL_POWER	550;0;0	437;0;0	515;0;0	567;0;0	600;0;0	755;0;0	700;0;0											
HYDROGEN_FUEL_CELLS	330;0;0			300;0;0		275;0;0												
METHANE_FUEL_CELLS	300;0;0																	
METHANOL_FUEL_CELLS	200;0;0																	
LEU_FISSION_POWER	919;0;0	856;0;0	675;0;0	809;0;0	689;0;0	25;0;0	850;0;0											
HEU_FISSION_POWER																		
THORIUM_FISSION_POWER																		
D_T_FUSION_POWER																		
D_3HE_FUSION_POWER																		
3HE_3HE_FUSION_POWER																		
RADIOISOTOPE_POWER																		
ATMOS_SEPARATION	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0											
VOLATILES_EXTRACTION_REGOLITH																		
HYDROCARBON_SEPARATION																		
WATER_DESALINATION	820;0;0		820;0;0	820;0;0	820;0;0	820;0;0	820;0;0											
BRINE_EXTRACTION_OCEAN	700;0;0		700;0;0	700;0;0	700;0;0	700;0;0	700;0;0											
BRINE_EXTRACTION_CONT_SURFACE	700;0;0	700;0;0	700;0;0	700;0;0	700;0;0		700;0;0											
GAS_DRILLING_CONT_SURFACE																		
OIL_DRILLING_CONT_SURFACE																		
COAL_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
IRON_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
ALUMINIUM_MINING_CONT_SURFACE		730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
INDUST_METALS_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
PRECIOUS_METALS_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
URANIUM_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0		730;0;0											
RARE_EARTHS_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0		730;0;0		730;0;0											
SULFUR_MINING_CONT_SURFACE		730;0;0	730;0;0	730;0;0		730;0;0	730;0;0											
ORGANICS_MINING_CONT_SURFACE		730;0;0	730;0;0	730;0;0			730;0;0											
INDUST_MINERALS_MINING_CONT_SURFACE	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0	730;0;0											
STONE_QUARRYING_CONT_SURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0											
REGOLITH_QUARRYING_CONT_SURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0											
GAS_DRILLING_CONT_NEAR_SURFACE	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0											
OIL_DRILLING_CONT_NEAR_SURFACE	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0											
COAL_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
IRON_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
ALUMINIUM_MINING_CONT_NEAR_SURFACE		710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
INDUST_METALS_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
PRECIOUS_METALS_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
URANIUM_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0		710;0;0											
RARE_EARTHS_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0		710;0;0		710;0;0											
SULFUR_MINING_CONT_NEAR_SURFACE		710;0;0	710;0;0	710;0;0		710;0;0	710;0;0											
ORGANICS_MINING_CONT_NEAR_SURFACE		710;0;0	710;0;0	710;0;0			710;0;0											
INDUST_MINERALS_MINING_CONT_NEAR_SURFACE	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0	710;0;0											
GAS_DRILLING_CONT_SUBSURFACE	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0											
OIL_DRILLING_CONT_SUBSURFACE	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0	820;0;0											
COAL_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
IRON_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
ALUMINIUM_MINING_CONT_SUBSURFACE		690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
INDUST_METALS_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
PRECIOUS_METALS_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
URANIUM_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0		690;0;0											
RARE_EARTHS_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0		690;0;0		690;0;0											
SULFUR_MINING_CONT_SUBSURFACE		690;0;0	690;0;0	690;0;0		690;0;0	690;0;0											
