OPERATION_\FACILITY_	PLANET_EARTH_PLAYER_USA	PLANET_EARTH_PLAYER_RUSSIA	PLANET_EARTH_PLAYER_CHINA	PLANET_EARTH_PLAYER_EU	PLANET_EARTH_PLAYER_INDIA	PLANET_EARTH_PLAYER_JAPAN	PLANET_EARTH_PLAYER_OTHER	PLANET_EARTH_PLAYER_NASA	PLANET_EARTH_PLAYER_ROSCOSMOS	PLANET_EARTH_PLAYER_CNSA	PLANET_EARTH_PLAYER_ESA	PLANET_EARTH_PLAYER_ISRO	PLANET_EARTH_PLAYER_JAXA	SPACECRAFT_ISS_PLAYER_NASA	SPACECRAFT_ISS_PLAYER_ROSCOSMOS	SPACECRAFT_ISS_PLAYER_ESA	SPACECRAFT_ISS_PLAYER_JAXA	SPACECRAFT_TIANGONG_PLAYER_CNSA
SOLAR_POWER	2500	10	800	29300	100	3600	4000							0.2	0.056			0.04
GEOTHERMAL_POWER	3000	1	1	1000	1	100	7000											
HYDROPOWER	78000	47000	210000	147000	37000	28000	388000											
WIND_POWER	40000	100	30000	85000	13000	2000	10000											
TIDAL_POWER	1	1	1	300	1	1	1											
HYDROGEN_POWER																		
METHANE_POWER	407000	98100	36800	220100	17700	64500	243800											
METHANOL_POWER																		
ETHANOL_POWER																		
LIQ_HYDROCARBONS_POWER																		
OIL_POWER	53800	16300	14700	72900	7800	46300	138200											
COAL_POWER	318400	105000	660000	195500	118500	35300	355300											
HYDROGEN_FUEL_CELLS																		
METHANE_FUEL_CELLS																		
METHANOL_FUEL_CELLS																		
LEU_FISSION_POWER	101000	23000	11000	131000	4000	47000	32000											
HEU_FISSION_POWER																		
THORIUM_FISSION_POWER																		
D_T_FUSION_POWER																		
D_3HE_FUSION_POWER																		
3HE_3HE_FUSION_POWER																		
RADIOISOTOPE_POWER																		
OIL_REFINING																		
IRON_NICKEL_REFINING																		
IRON_ORE_SMELTING																		
BASIC_O2_STEELMAKING																		
H2_REDUCTION_STEELMAKING																		
ELECTRIC_STEELMAKING																		
SOLAR_STEELMAKING																		
ALUMINIUM_REFINING																		
INDUST_METALS_REFINING																		
PRECIOUS_METALS_REFINING																		
RARE_EARTHS_REFINING																		
URANIUM_REFINING																		
REGOLITH_PROCESSING																		
DEUTERIUM_PURIFICATION																		
MUNICIPAL_RECYC_INCINERATION																		
INDUST_RECYC_INCINERATION																		
URANIUM_FUEL_REPROCESSING																		
THORIUM_FUEL_REPROCESSING																		
WATER_ELECTROLYSIS																		
CO2_ELECTROLYSIS																		
CO2_METHANATION																		
STEAM_METHANE_REFORMING																		
WATER_GAS_SHIFT																		
REVERSE_WATER_GAS_SHIFT																		
CO2_METHANOL_SYNTH																		
CO_METHANOL_SYNTH																		
LIQ_HYDROCARBONS_SYNTH																		
AMMONIA_SYNTH																		
COAL_GASIFICATION																		
BIOMASS_GASIFICATION																		
METHANE_PYROLYSIS																		
COAL_CARBONIZATION																		
BIOMASS_CARBONIZATION																		
POLYMER_SYNTH																		
INDUST_CHEMICALS_SYNTH																		
FINE_CHEMICALS_SYNTH																		
CONCRETE_PRODUCTION																		
GLASS_CERAMICS_PRODUCTION																		
SEMICONDUCTOR_PRODUCTION																		
COMPOSITE_PRODUCTION																		
SOLID_FUEL_PRODUCTION																		
FERTILIZER_PRODUCTION																		
SPACE_YARDS_ASSEMBLY																		
TRANSPORT_MANUF																		
STEEL_STRUCTURES_MANUF																		
ALUMINIUM_STRUCTURES_MANUF																		
COMPOSITE_STRUCTURES_MANUF																		
TECHNICAL_TEXTILES_FAB																		
SOLAR_PANEL_MANUF																		
BATTERY_MANUF																		
LEU_FUEL_MANUF																		
HEU_FUEL_MANUF																		
THORIUM_FUEL_MANUF																		
HEAVY_MACHINERY_MANUF	45000	15000	100000	45000	15000	20000	45000											
ELECTRICAL_EQUIP_MANUF																		
PRECISION_EQUIP_MANUF																		
ELECTRONICS_MANUF																		
ROBOTICS_MANUF																		
TENSOR_PROCESSOR_FAB																		
NEUROMORPHIC_PROCESSOR_FAB																		
CONSUMER_GOODS_MANUF																		
SPECIALTY_GOODS_MANUF																		
CREW_LIFE_SUPPORT														2	2	1	1	2
URBAN_OPERATIONS	13410.309	4242.6293	46890.3698	20545.018	56859.27765	5909.7844	129613.5654	1.8	17	17	0.22	1.6	0.16					
OPEN_AGRICULTURE																		
CONTROLLED_ENV_AGRICULTURE																		
OPEN_AQUACULTURE																		
CONTROLLED_ENV_AQUACULTURE																		
ALGACULTURE																		
CELLULAR_AGRICULTURE																		
COMMERCIAL_FISHING																		
OPEN_FORESTRY																		
ARTISANAL_FARMING																		
ARTISANAL_CRAFTING																		
FOOD_PROCESSING_PACKAGING																		
PHARMACEUTICALS_SYNTH																		
SOIL_CONDITIONING																		
BIOMASS_LIQUEFACTION																		
ETHANOL_FERMENTATION																		
INDUST_FERMENTATION																		
BIOGAS_PRODUCTION																		
BIOWASTE_TREATMENT																		
@ENTITY_X_ENTITY																		
@DATA_TYPE=FLOAT																		
@DATA_DEFAULT=0																		
@TRANSPOSE																		
# game start -> Operations.capacities																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
