OPERATION_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
SOLAR_POWER	0.199	0.129	0.118	0.121	0.176	0.139	0.135	0.199	0.129	0.118	0.121	0.176	0.139	0.5	0.5	0.5	0.5	0.5
GEOTHERMAL_POWER	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75					
HYDROPOWER	0.41	0.43	0.4	0.3	0.35	0.33	0.37	0.41	0.43	0.4	0.3	0.35	0.33					
WIND_POWER	0.4	0.3	0.35	0.38	0.35	0.35	0.35	0.4	0.3	0.35	0.38	0.35	0.35					
TIDAL_POWER	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28					
@ENTITY_X_ENTITY																		
@DATA_TYPE=FLOAT																		
@DATA_DEFAULT=NAN																		
@TRANSPOSE																		
# fixed for renewables only!																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
