FACILITY_\POPULATION_	BASE_HUMAN
PLANET_EARTH_PLAYER_USA	3.09e8
PLANET_EARTH_PLAYER_RUSSIA	1.43e8
PLANET_EARTH_PLAYER_CHINA	1.34e9
PLANET_EARTH_PLAYER_EU	501_098_000
PLANET_EARTH_PLAYER_INDIA	1.21e9
PLANET_EARTH_PLAYER_JAPAN	1.28e8
PLANET_EARTH_PLAYER_OTHER	3.03e9
PLANET_EARTH_PLAYER_NASA	18000
PLANET_EARTH_PLAYER_ROSCOSMOS	220000
PLANET_EARTH_PLAYER_CNSA	150000
PLANET_EARTH_PLAYER_ESA	2000
PLANET_EARTH_PLAYER_ISRO	14000
PLANET_EARTH_PLAYER_JAXA	1500
@ENTITY_X_ENTITY	
@DATA_TYPE=FLOAT	
@DATA_DEFAULT=0	
# at sim start: 2010	
# table[facility_type][population_type]	
