RESOURCE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
ELECTRICITY	1.01e7,1.12e6	2.71e6,3.01e5	2.27e7,2.52e6	6.66e6,7.40e5	4.69e6,5.21e5	2.22e6,2.47e5	2.00e7,2.22e6											
HYDROGEN	8.90e4,9.90e3	3.70e4,4.10e3	2.60e5,2.90e4	6.70e4,7.40e3	5.20e4,5.80e3	1.50e4,1.60e3	1.90e5,2.10e4	5.00e3,0	1.00e3,0	2.00e3,0	1.50e3,0	8.00e2,0	5.00e2,0					
METHANE	4.70e7,5.20e6	2.10e7,5.20e6	1.60e7,1.80e6	6.50e7,7.20e6	3.20e6,3.60e5	2.00e6,2.20e5	4.60e7,1.10e7	3.00e3,0		1.00e3,0								
METHANOL	1.90e5,2.10e4	1.70e5,4.20e4	2.20e6,2.50e5	1.10e5,1.20e4	7.40e4,8.20e3	3.70e4,4.10e3	1.10e6,2.80e5											
ETHANOL	2.00e6,2.30e5	5.60e4,6.20e3	4.40e5,4.90e4	2.20e5,2.50e4	1.10e5,1.20e4	1.90e4,2.10e3	1.20e6,3.00e5											
LIQ_HYDROCARBONS	2.40e7,2.70e6	1.50e7,5.00e6	4.00e7,4.50e6	3.20e7,3.50e6	1.40e7,1.50e6	9.00e6,1.00e6	8.00e7,2.00e7	3.00e3,0	5.00e3,0	5.00e3,0	1.00e3,0	2.00e3,0	1.00e3,0					
SOLID_FUELS	4.50e4,5.00e3	2.70e4,3.00e3	3.60e4,4.00e3	9.00e3,1.00e3	1.80e4,2.00e3	4.50e3,5.00e2	2.70e4,3.00e3	1.00e4,0	5.00e3,0	8.00e3,0	5.00e3,0	5.00e3,0	3.00e3,0					
COAL	9.00e7,1.00e7	2.40e7,6.00e6	1.80e8,2.00e7	3.60e7,4.00e6	5.40e7,6.00e6	1.80e7,2.00e6	1.00e8,3.00e7											
OIL	1.03e8,1.10e7	3.50e7,1.50e7	8.10e7,9.00e6	1.35e8,1.50e7	3.60e7,4.00e6	6.30e7,7.00e6	2.40e8,6.00e7											
LE_URANIUM_FUEL	4.50e6,5.00e5	3.00e6,1.00e6	3.20e6,3.50e5	6.30e6,7.00e5	1.40e6,1.50e5	1.80e6,2.00e5	5.00e6,1.00e6											
HE_URANIUM_FUEL	9.00e4,1.00e4	1.40e5,1.50e4	1.80e4,2.00e3	2.70e4,3.00e3	4.50e3,5.00e2	9.00e2,1.00e2	2.70e4,3.00e3											
THORIUM_FUEL	5.00e1,0		5.00e1,0		5.00e2,0													
DEUTERIUM	9.00e3,1.00e3	4.50e3,5.00e2	2.70e3,3.00e2	3.60e3,4.00e2	4.50e4,5.00e3	9.00e2,1.00e2	2.70e4,3.00e3											
HELIUM_3																		
SPENT_URANIUM_FUEL	8.10e7,4.30e6	2.40e7,1.30e6	9.50e6,5.00e5	4.80e7,2.50e6	9.50e6,5.00e5	1.90e7,1.00e6	2.90e7,1.50e6											
SPENT_THORIUM_FUEL																		
IRON_NICKEL																		
IRON_ORES	2.70e7,3.00e6	1.40e7,6.00e6	1.35e8,1.50e7	2.70e7,3.00e6	2.70e7,3.00e6	1.40e7,1.50e6	1.60e8,4.00e7											
ALUMINIUM_ORES	4.50e6,5.00e5	5.40e6,6.00e5	3.60e7,4.00e6	4.50e6,5.00e5	2.00e7,5.00e6	1.80e6,2.00e5	1.60e8,4.00e7											
INDUST_METAL_ORES	2.70e6,3.00e5	3.20e6,8.00e5	1.80e7,2.00e6	3.60e6,4.00e5	4.50e6,5.00e5	1.80e6,2.00e5	2.40e7,6.00e6											
PRECIOUS_METAL_ORES	9.00e6,1.00e6	1.20e7,3.00e6	1.80e7,2.00e6	2.70e6,3.00e5	1.80e6,2.00e5	4.50e5,5.00e4	8.00e7,2.00e7											
RARE_EARTH_ORES	4.50e4,5.00e3	9.00e3,1.00e3	4.00e5,1.00e5	4.50e3,5.00e2	1.40e4,1.50e3	9.00e2,1.00e2	8.00e4,2.00e4											
URANIUM_ORES	9.00e3,1.00e3	1.60e4,4.00e3	1.40e4,1.50e3	4.50e3,5.00e2	4.50e3,5.00e2		6.00e4,2.00e4											
SULFUR	8.10e6,9.00e5	5.60e6,1.40e6	6.30e6,7.00e5	4.50e6,5.00e5	1.80e6,2.00e5	2.70e6,3.00e5	2.00e7,5.00e6											
ORGANICS_THOLINS																		
INDUST_MINERALS	4.50e6,5.00e5	2.40e6,6.00e5	1.40e7,1.50e6	3.60e6,4.00e5	2.70e6,3.00e5	9.00e5,1.00e5	1.20e7,3.00e6											
STONE	1.40e8,1.50e7	4.50e7,5.00e6	5.40e8,6.00e7	1.80e8,2.00e7	1.80e8,2.00e7	2.70e7,3.00e6	7.20e8,8.00e7											
REGOLITH																		
WATER	1.40e8,1.50e7	3.60e7,4.00e6	2.70e8,3.00e7	1.40e8,1.50e7	9.00e7,1.00e7	4.50e7,5.00e6	4.50e8,5.00e7							0.86,0	0.57,0	0.29,0	0.29,0	1.50,0
OXYGEN	1.40e6,1.50e5	4.50e5,5.00e4	2.70e6,3.00e5	1.40e6,1.50e5	4.50e5,5.00e4	4.50e5,5.00e4	2.70e6,3.00e5	2.00e4,0	1.00e4,0	3.00e4,0	5.00e3,0	3.00e3,0	2.00e3,0	0.086,0	0.057,0	0.029,0	0.029,0	0.15,0
NITROGEN	7.20e5,8.00e4	2.30e5,2.50e4	1.40e6,1.50e5	7.20e5,8.00e4	2.70e5,3.00e4	2.70e5,3.00e4	1.40e6,1.50e5	5.00e2,0	3.00e2,0	5.00e2,0	2.00e2,0	1.00e2,0	1.00e2,0	0.21,0	0.14,0	0.071,0	0.071,0	0.40,0
CARBON_DIOXIDE	9.00e5,1.00e5	2.30e5,2.50e4	1.80e6,2.00e5	7.20e5,8.00e4	2.70e5,3.00e4	1.80e5,2.00e4	1.80e6,2.00e5											
CARBON_MONOXIDE	9.00e4,1.00e4	4.50e4,5.00e3	1.80e5,2.00e4	7.20e4,8.00e3	2.70e4,3.00e3	1.80e4,2.00e3	1.80e5,2.00e4											
AMMONIA	1.40e6,1.50e5	1.20e6,3.00e5	4.10e6,4.50e5	1.40e6,1.50e5	1.40e6,1.50e5	2.30e5,2.50e4	4.00e6,1.00e6											
ETHANE																		
SULFUR_DIOXIDE																		
