name\Field	op_class	storage	reconfig_time	reconfig_cost	biological_crew	carrying_capacity	carrying_capacity_group	stratum_group	foldable	operations
Type	TABLE_ROW	ARRAY[FLOAT]	FLOAT	FLOAT	FLOAT	FLOAT	TABLE_ROW	TABLE_ROW	BOOL	ARRAY[TABLE_ROW]
Unit		t	d	$M						
Default					0	0				
Prefix/MODULE_	OP_CLASS_						CARRYING_CAPACITY_GROUP_	STRATUM_GROUP_		OPERATION_
SOLAR_ARRAYS	ENERGY	500 MWh;10;10;2;1;0;1								SOLAR_POWER
GEOTHERMAL_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								GEOTHERMAL_POWER
HYDROELECTRIC_DAMS	ENERGY	500 MWh;10;10;2;1;0;1								HYDROPOWER
WIND_FARMS	ENERGY	500 MWh;10;10;2;1;0;1								WIND_POWER
TIDAL_POWER_STATIONS	ENERGY	500 MWh;10;10;2;1;0;1								TIDAL_POWER
COMBUSTION_POWER_PLANTS	ENERGY	500 MWh;150;75;200;100;0;1	365	1.0					x	HYDROGEN_POWER;METHANE_POWER;METHANOL_POWER;ETHANOL_POWER;LIQ_HYDROCARBONS_POWER;OIL_POWER;COAL_POWER
FUEL_CELLS	ENERGY	500 MWh;10;75;150;100;0;1	90	0.5					x	HYDROGEN_FUEL_CELLS;METHANE_FUEL_CELLS;METHANOL_FUEL_CELLS
LEU_NUCLEAR_PLANTS	ENERGY	500 MWh;10;10;2;1;1;1								LEU_FISSION_POWER
HEU_NUCLEAR_REACTORS	ENERGY	500 MWh;10;10;2;1;1;1								HEU_FISSION_POWER
THORIUM_NUCLEAR_PLANTS	ENERGY	500 MWh;10;10;2;1;1;1								THORIUM_FISSION_POWER
D_T_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								D_T_FUSION_POWER
D_3HE_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								D_3HE_FUSION_POWER
3HE_3HE_FUSION_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								3HE_3HE_FUSION_POWER
RADIOISOTOPE_GENERATORS	ENERGY	500 MWh;10;10;2;1;0;1								RADIOISOTOPE_POWER
CONT_SURFACE_MINES	EXTRACTION	500 MWh;75000;10;2;1;0;1	365	1.0				CONT_SURFACE	x	CONT_SURFACE_COAL_MINING;CONT_SURFACE_IRON_MINING;CONT_SURFACE_ALUMINIUM_MINING;CONT_SURFACE_INDUST_METALS_MINING;CONT_SURFACE_PRECIOUS_METALS_MINING;CONT_SURFACE_URANIUM_MINING;CONT_SURFACE_RARE_EARTHS_MINING;CONT_SURFACE_SULFUR_MINING;CONT_SURFACE_ORGANICS_MINING;CONT_SURFACE_INDUST_MINERALS_MINING
CONT_NEAR_SURFACE_MINES	EXTRACTION	500 MWh;12000;10;2;1;0;1	540	2.0				CONT_NEAR_SURFACE	x	CONT_NEAR_SURFACE_COAL_MINING;CONT_NEAR_SURFACE_IRON_MINING;CONT_NEAR_SURFACE_ALUMINIUM_MINING;CONT_NEAR_SURFACE_INDUST_METALS_MINING;CONT_NEAR_SURFACE_PRECIOUS_METALS_MINING;CONT_NEAR_SURFACE_URANIUM_MINING;CONT_NEAR_SURFACE_RARE_EARTHS_MINING;CONT_NEAR_SURFACE_SULFUR_MINING;CONT_NEAR_SURFACE_ORGANICS_MINING;CONT_NEAR_SURFACE_INDUST_MINERALS_MINING
