	op_class	process_group	show_singular
Type	TABLE_ROW	Enums.ProcessGroup	BOOL
Default			
Unit			
Prefix/OP_GROUP_	OP_CLASS_	PROCESS_GROUP_	
SOLAR_POWER	ENERGY	RENEWABLE	
GEOTHERMAL_POWER	ENERGY	RENEWABLE	
KINETIC_POWER	ENERGY	RENEWABLE	
COMBUSTION_POWER	ENERGY	CONVERSION	
FUEL_CELLS	ENERGY	CONVERSION	
NUCLEAR_POWER	ENERGY	CONVERSION	x
ATMOSPHERE	EXTRACTION	EXTRACTION	x
FIXME	EXTRACTION	EXTRACTION	x
CONT_ICE_BODIES	EXTRACTION	EXTRACTION	x
CONT_SURFACE	EXTRACTION	EXTRACTION	x
CONT_SHELF	EXTRACTION	EXTRACTION	x
CONT_NEAR_SURFACE	EXTRACTION	EXTRACTION	x
CONT_SUBSURFACE	EXTRACTION	EXTRACTION	x
CONT_DEEP_SUBSURFACE	EXTRACTION	EXTRACTION	x
CONT_EXTREME_SUBSURFACE	EXTRACTION	EXTRACTION	x
CONT_ULTRA_SUBSURFACE	EXTRACTION	EXTRACTION	x
CONT_LOWER_CRUST	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_ICE_BODIES	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_SURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_SHELF	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_NEAR_SURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_SUBSURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_DEEP_SUBSURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_EXTREME_SUBSURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_ULTRA_SUBSURFACE	EXTRACTION	EXTRACTION	x
ANTARCTIC_CONT_LOWER_CRUST	EXTRACTION	EXTRACTION	x
NORTH_POLAR_CAP	EXTRACTION	EXTRACTION	x
SOUTH_POLAR_CAP	EXTRACTION	EXTRACTION	x
POLAR_SHADED_REGOLITH	EXTRACTION	EXTRACTION	x
REGOLITH	EXTRACTION	EXTRACTION	x
NEAR_SURFACE	EXTRACTION	EXTRACTION	x
SUBSURFACE	EXTRACTION	EXTRACTION	x
CRUST	EXTRACTION	EXTRACTION	x
DEEP_CRUST	EXTRACTION	EXTRACTION	x
OCEAN	EXTRACTION	EXTRACTION	x
OCEAN_FLOOR	EXTRACTION	EXTRACTION	x
OCEAN_CRUST	EXTRACTION	EXTRACTION	x
CRUST_TERRAE	EXTRACTION	EXTRACTION	x
CRUST_MARIA	EXTRACTION	EXTRACTION	x
MANTLE	EXTRACTION	EXTRACTION	x
CORE	EXTRACTION	EXTRACTION	x
BULK	EXTRACTION	EXTRACTION	x
OIL_REFINING	REFINING	CONVERSION	
IRON_STEELMAKING	REFINING	CONVERSION	
METALS_REFINING	REFINING	CONVERSION	
BULK_PROCESSING	REFINING	CONVERSION	x
PURIFICATION	REFINING	CONVERSION	
RECYC_INCINERATION	REFINING	CONVERSION	
NUCLEAR_FUEL_REPROCESSING	REFINING	CONVERSION	
ELECTROLYSIS	CONVERSION	CONVERSION	
CATALYTIC_CONVERSION	CONVERSION	CONVERSION	
GASIFICATION_PYROLYSIS	CONVERSION	CONVERSION	
SYNTH_PRODUCTION	CONVERSION	CONVERSION	
YARDS_TRANSPORT_MANUF	MANUFACTURING	CONVERSION	
STRUCTURES_MAT_MANUF	MANUFACTURING	CONVERSION	
POWER_SYSTEMS_MANUF	MANUFACTURING	CONVERSION	
MACHINE_EQUIP_MANUF	MANUFACTURING	CONVERSION	
ADVANCED_FAB	MANUFACTURING	CONVERSION	
GOODS_MANUF	MANUFACTURING	CONVERSION	
HABITAT_OPS	BIOMES	DONT_PROCESS	
AGRICULTURE	BIOMES	CONVERSION	
AQUACULTURE	BIOMES	CONVERSION	
CELLULAR_AGRICULTURE	BIOMES	CONVERSION	
BIOME_HARVEST	BIOMES	EXTRACTION	
ARTISANRY	BIOMES	CONVERSION	
FOOD_PROCESSING_PACKAGING	BIOMES	CONVERSION	
PHARMACEUTICALS_SYNTH	BIOMES	CONVERSION	
SOIL_CONDITIONING	BIOMES	CONVERSION	
BIOMASS_LIQUEFACTION	BIOMES	CONVERSION	
BIOPROCESSING_TREATMENT	BIOMES	CONVERSION	
# 1-to-many w/ operations			
