name\Field	sublabel	module	stratum_group	process_group	electricity	solar	heat	efficiency	civ_power	mass_conversion	fuel_rate	manufacturing	bioproduction	computation	target_deposits	target_rate	overburden	discovered_norm	input_resources	input_rates	output_resources	output_rates	target_products	atmos_trace_inputs	atmos_outputs
Type	STRING_NAME	TABLE_ROW	TABLE_ROW	Enums.ProcessGroup	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	ARRAY[TABLE_ROW]	FLOAT	FLOAT	FLOAT	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[TABLE_ROW]	ARRAY[TABLE_ROW]
Unit					MW	MW	MW		MW	t/h	t/h	t/h	t/h	Eflop/s		t/h	t/h			t/h		t/h			
Default																									
Prefix/OPERATION_		MODULE_	STRATUM_GROUP_	PROCESS_GROUP_											RESOURCE_				RESOURCE_		RESOURCE_		RESOURCE_	RESOURCE_	RESOURCE_
SOLAR_POWER		SOLAR_ARRAYS		RENEWABLE	1	4.00	3.00	0.25	4.00	0	0														
GEOTHERMAL_POWER		GEOTHERMAL_PLANTS		RENEWABLE	1		5.67	0.15	6.67	0	0														
HYDROPOWER	TXT_HYDRO	HYDROELECTRIC_DAMS		RENEWABLE	1		0.0870	0.92	1.09	0	0														
WIND_POWER	TXT_WIND	WIND_FARMS		RENEWABLE	1		0.0526	0.95	1.05	0	0														
TIDAL_POWER	TXT_TIDAL	TIDAL_POWER_STATIONS		RENEWABLE	1		0.111	0.90	1.11	0	0														
HYDROGEN_POWER	RESOURCE_HYDROGEN	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.22	0.45	2.22	0.600	0.0667								HYDROGEN;OXYGEN	0.0667;0.533	WATER	0.600			WATER
METHANE_POWER	RESOURCE_METHANE	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.00	0.50	2.00	0.720	0.144								METHANE;OXYGEN	0.144;0.576	CARBON_DIOXIDE;WATER	0.396;0.324			CARBON_DIOXIDE;WATER
METHANOL_POWER	RESOURCE_METHANOL	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.38	0.42	2.38	1.077	0.431								METHANOL;OXYGEN	0.431;0.646	CARBON_DIOXIDE;WATER	0.592;0.485			CARBON_DIOXIDE;WATER
ETHANOL_POWER	RESOURCE_ETHANOL	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.38	0.42	2.38	0.988	0.320								ETHANOL;OXYGEN	0.320;0.668	CARBON_DIOXIDE;WATER	0.612;0.376			CARBON_DIOXIDE;WATER
LIQ_HYDROCARBONS_POWER	RESOURCE_LIQ_HYDROCARBONS	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.38	0.42	2.38	0.876	0.199								LIQ_HYDROCARBONS;OXYGEN	0.199;0.677	CARBON_DIOXIDE;WATER	0.625;0.251			CARBON_DIOXIDE;WATER
