name\Field	generic_body_class	body	body_radius	polity	stratum_group	depth	thickness	spherical_fraction	area	volume	density	mass	survey_level	#survey_note
Type	TABLE_ROW	STRING_NAME	FLOAT	STRING_NAME	TABLE_ROW	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING
Unit			km			km	km		km^2	km^3	g/cm^3	kg		
Default														
Prefix/STRATUM_	BODY_CLASS_			POLITY_	STRATUM_GROUP_									
PLANET_MERCURY_POLAR_SHADED_REGOLITH		PLANET_MERCURY	2440		POLAR_SHADED_REGOLITH	0.01	0.01	5e-4	3.74e4	3.74e2	1.5	5.61e14	0.8	MESSENGER radar and thermal mapping of PSRs; no direct sampling
PLANET_MERCURY_REGOLITH		PLANET_MERCURY	2440		REGOLITH	0.01	0.01	0.9995	7.48e7	7.48e5	1.5	1.12e18	1.5	MESSENGER orbital spectroscopy XRS GRS; no surface sampling
PLANET_MERCURY_NEAR_SURFACE		PLANET_MERCURY	2440		NEAR_SURFACE	1	0.99	1	7.48e7	7.41e7	2.2	1.63e20	0.8	No seismic data; lunar megaregolith analog assumed; MESSENGER gravity constraints
PLANET_MERCURY_CRUST		PLANET_MERCURY	2440		CRUST	35	34	1	7.47e7	2.51e9	2.9	7.28e21	1.0	MESSENGER XRS GRS spectral and gravity data; no subsurface sampling
PLANET_MERCURY_MANTLE		PLANET_MERCURY	2440		MANTLE	420	385	1	7.27e7	2.37e10	3.3	7.82e22	0.3	MESSENGER gravity and libration; moment of inertia constraints only
PLANET_MERCURY_CORE		PLANET_MERCURY	2440		CORE	2440	2020	1	5.13e7	3.45e10	7.0	2.42e23	0.3	MESSENGER libration confirms partially liquid outer core; composition uncertain
PLANET_VENUS_ATMOSPHERE		PLANET_VENUS	6052		ATMOSPHERE	0	250	1	4.99e8	1.19e11	4.0e-3	4.76e20	5.0	Venera and Pioneer Venus probes; well-characterized bulk composition; cloud chemistry less certain
PLANET_VENUS_SURFACE		PLANET_VENUS	6052		SURFACE	0.1	0.1	1	4.60e8	4.60e7	2.8	1.29e20	1.5	Venera 13/14 XRF at few sites; Magellan radar; very limited direct sampling
PLANET_VENUS_NEAR_SURFACE		PLANET_VENUS	6052		NEAR_SURFACE	1	0.9	1	4.60e8	4.14e8	2.8	1.16e21	0.5	No subsurface data; basaltic assumed from Venera surface XRF
PLANET_VENUS_SUBSURFACE		PLANET_VENUS	6052		SUBSURFACE	5	4	1	4.60e8	1.84e9	2.85	5.24e21	0.3	No direct data; Magellan gravity provides minimal constraint
PLANET_VENUS_DEEP_CRUST		PLANET_VENUS	6052		DEEP_CRUST	30	25	1	4.60e8	1.15e10	2.9	3.34e22	0.3	Magellan gravity and topography; crustal thickness estimated 10-50 km; no seismic data
PLANET_VENUS_MANTLE		PLANET_VENUS	6052		MANTLE	2852	2822	1	4.56e8	7.75e11	4.2	3.26e24	0.3	No seismic data; gravity models; volcanism implies vigorous convection
PLANET_VENUS_CORE		PLANET_VENUS	6052		CORE	6052	3200	1	1.29e8	1.37e11	11.0	1.51e24	0.3	No seismic or magnetic data; moment of inertia poorly constrained
PLANET_EARTH_ATMOSPHERE		PLANET_EARTH	6371		ATMOSPHERE	0	65	1	5.21e8	3.35e10	1.54e-4	5.15e18	10	Near-perfect knowledge; routine global atmospheric monitoring
PLANET_EARTH_ANTARCTICA_CONT_ICE_BODIES		PLANET_EARTH	6371		ANTARCTIC_CONT_ICE_BODIES	0	2.14	0.0241	1.23e7	2.63e7	0.90	2.37e19	5.5	Extensive ice-core drilling and radar profiling; simple bulk composition
PLANET_EARTH_OTHER_CONT_ICE_BODIES		PLANET_EARTH	6371	OTHER	CONT_ICE_BODIES	0	1.15	4.39e-3	2.24e6	2.58e6	0.90	2.32e18	6.0	Dominated by Greenland ice sheet; multiple deep ice cores (GRIP GISP2 NEEM)
PLANET_EARTH_USA_CONT_SURFACE		PLANET_EARTH	6371	USA	CONT_SURFACE	0.1	0.1	0.0200	1.02e7	1.02e6	2.0	2.04e18	5.5	Extensive USGS surveys; includes Great Lakes and Alaska glaciers
PLANET_EARTH_CHINA_CONT_SURFACE		PLANET_EARTH	6371	CHINA	CONT_SURFACE	0.1	0.1	0.0190	9.71e6	9.71e5	2.0	1.94e18	5.0	Broad exploration; includes Tibetan Plateau glaciers and major lakes
PLANET_EARTH_EU_CONT_SURFACE		PLANET_EARTH	6371	EU	CONT_SURFACE	0.1	0.1	0.0101	5.15e6	5.15e5	2.0	1.03e18	6.0	Longest mining history; includes Alpine glaciers and extensive lake systems
PLANET_EARTH_RUSSIA_CONT_SURFACE		PLANET_EARTH	6371	RUSSIA	CONT_SURFACE	0.1	0.1	0.0340	1.74e7	1.74e6	2.0	3.48e18	4.5	Soviet-era surveys extensive; includes Lake Baikal and Arctic island glaciers
PLANET_EARTH_INDIA_CONT_SURFACE		PLANET_EARTH	6371	INDIA	CONT_SURFACE	0.1	0.1	0.00653	3.33e6	3.33e5	2.0	6.66e17	4.5	Major mining districts well explored; includes Himalayan glaciers and reservoirs
PLANET_EARTH_JAPAN_CONT_SURFACE		PLANET_EARTH	6371	JAPAN	CONT_SURFACE	0.1	0.1	7.51e-4	3.83e5	3.83e4	2.0	7.66e16	5.5	Small territory; well-surveyed; includes Lake Biwa and other water bodies
PLANET_EARTH_ANTARCTICA_CONT_SURFACE		PLANET_EARTH	6371		ANTARCTIC_CONT_SURFACE	0.1	0.1	0.0275	1.40e7	1.40e6	2.0	2.80e18	1.5	Ice-covered; minimal surface geological exploration
PLANET_EARTH_OTHER_CONT_SURFACE		PLANET_EARTH	6371	OTHER	CONT_SURFACE	0.1	0.1	0.179	9.13e7	9.13e6	2.0	1.83e19	3.5	Highly variable by country; includes Canadian lakes and major mining nations
PLANET_EARTH_USA_CONT_SHELF		PLANET_EARTH	6371	USA	CONT_SHELF	0.1	0.1	0.00484	2.47e6	2.47e5	2.0	4.94e17	4.5	Extensive OCS surveys; Gulf of Mexico and Atlantic sand/gravel well explored
PLANET_EARTH_CHINA_CONT_SHELF		PLANET_EARTH	6371	CHINA	CONT_SHELF	0.1	0.1	0.00176	9.00e5	9.00e4	2.0	1.80e17	3.5	Active offshore exploration; South and East China Sea sediment characterized
PLANET_EARTH_EU_CONT_SHELF		PLANET_EARTH	6371	EU	CONT_SHELF	0.1	0.1	0.00392	2.00e6	2.00e5	2.0	4.00e17	5.0	North Sea thoroughly explored; extensive marine aggregate and geological mapping
PLANET_EARTH_RUSSIA_CONT_SHELF		PLANET_EARTH	6371	RUSSIA	CONT_SHELF	0.1	0.1	0.0108	5.50e6	5.50e5	2.0	1.10e18	3.0	Vast Arctic shelf; significant potential but much remains unexplored
PLANET_EARTH_INDIA_CONT_SHELF		PLANET_EARTH	6371	INDIA	CONT_SHELF	0.1	0.1	7.84e-4	4.00e5	4.00e4	2.0	8.00e16	3.5	Bombay High and western shelf surveyed; east coast heavy mineral sands characterized
PLANET_EARTH_JAPAN_CONT_SHELF		PLANET_EARTH	6371	JAPAN	CONT_SHELF	0.1	0.1	7.84e-4	4.00e5	4.00e4	2.0	8.00e16	4.0	Limited shelf but well-surveyed; methane hydrate exploration active
PLANET_EARTH_ANTARCTICA_CONT_SHELF		PLANET_EARTH	6371		ANTARCTIC_CONT_SHELF	0.1	0.1	0.00392	2.00e6	2.00e5	2.0	4.00e17	1.0	Ice-covered shelf; very sparse geological data from limited coring
PLANET_EARTH_OTHER_CONT_SHELF		PLANET_EARTH	6371	OTHER	CONT_SHELF	0.1	0.1	0.0220	1.12e7	1.12e6	2.0	2.24e18	3.0	Highly variable; includes major offshore mining provinces (Australia SE Asia W Africa)
PLANET_EARTH_USA_CONT_NEAR_SURFACE		PLANET_EARTH	6371	USA	CONT_NEAR_SURFACE	0.5	0.4	0.0242	1.23e7	4.92e6	2.45	1.21e19	5.0	Well-explored mining zone; extensive open-pit and shallow underground operations
PLANET_EARTH_CHINA_CONT_NEAR_SURFACE		PLANET_EARTH	6371	CHINA	CONT_NEAR_SURFACE	0.5	0.4	0.0206	1.05e7	4.20e6	2.45	1.03e19	4.5	Active mining exploration; many major open-pit operations
PLANET_EARTH_EU_CONT_NEAR_SURFACE		PLANET_EARTH	6371	EU	CONT_NEAR_SURFACE	0.5	0.4	0.0137	7.00e6	2.80e6	2.45	6.86e18	5.5	Long mining tradition; thorough geological mapping to this depth
PLANET_EARTH_RUSSIA_CONT_NEAR_SURFACE		PLANET_EARTH	6371	RUSSIA	CONT_NEAR_SURFACE	0.5	0.4	0.0443	2.26e7	9.04e6	2.45	2.21e19	4.0	Soviet-era mining surveys; vast remote areas less explored
PLANET_EARTH_INDIA_CONT_NEAR_SURFACE		PLANET_EARTH	6371	INDIA	CONT_NEAR_SURFACE	0.5	0.4	0.00723	3.69e6	1.48e6	2.45	3.63e18	4.0	Major mining districts explored at depth; many areas with limited data
PLANET_EARTH_JAPAN_CONT_NEAR_SURFACE		PLANET_EARTH	6371	JAPAN	CONT_NEAR_SURFACE	0.5	0.4	0.00153	7.78e5	3.11e5	2.45	7.62e17	4.5	Small territory well-characterized; limited mineral resources at depth
PLANET_EARTH_ANTARCTICA_CONT_NEAR_SURFACE		PLANET_EARTH	6371		ANTARCTIC_CONT_NEAR_SURFACE	0.5	0.4	0.0314	1.60e7	6.40e6	2.45	1.57e19	0.8	Ice-covered; virtually no direct geological data at this depth
PLANET_EARTH_OTHER_CONT_NEAR_SURFACE		PLANET_EARTH	6371	OTHER	CONT_NEAR_SURFACE	0.5	0.4	0.198	1.01e8	4.04e7	2.45	9.90e19	3.0	Highly variable; includes major mining regions and unexplored areas
PLANET_EARTH_USA_CONT_SUBSURFACE		PLANET_EARTH	6371	USA	CONT_SUBSURFACE	2	1.5	0.0242	1.23e7	1.85e7	2.55	4.72e19	4.5	Extensive oil/gas/mining drilling data
PLANET_EARTH_CHINA_CONT_SUBSURFACE		PLANET_EARTH	6371	CHINA	CONT_SUBSURFACE	2	1.5	0.0206	1.05e7	1.58e7	2.55	4.03e19	4.0	Significant mining and drilling; expanding exploration
PLANET_EARTH_EU_CONT_SUBSURFACE		PLANET_EARTH	6371	EU	CONT_SUBSURFACE	2	1.5	0.0137	7.00e6	1.05e7	2.55	2.68e19	5.0	Deep mining tradition; North Sea drilling
PLANET_EARTH_RUSSIA_CONT_SUBSURFACE		PLANET_EARTH	6371	RUSSIA	CONT_SUBSURFACE	2	1.5	0.0443	2.26e7	3.39e7	2.55	8.64e19	4.0	Extensive Soviet-era subsurface surveys
