STRATUM_\RESOURCE_	IRON_NICKEL	IRON_ORES	ALUMINIUM_ORES	INDUST_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	SULFUR	ORGANICS_THOLINS	INDUST_MINERALS	COAL	OIL	STONE	REGOLITH	WATER	HYDROGEN	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	METHANE	ETHANE	SULFUR_DIOXIDE	HELIUM	HELIUM_3	ARGON	HEAVY_NOBLE_GASES	WILD_FISHERIES	TIMBER
PLANET_EARTH_ATMOSPHERE															0.25,0.15,0,0	3.5e-6,0.2,0,0	23.08,0.001,0,0	75.33,0.001,0,0	0.064,0.03,0,0	1e-5,0.2,0,0		1.1e-4,0.05,0,0		1e-8,0.5,0,0	7.2e-5,0.02,0,0	7.5e-11,0.03,0,0	1.285,0.002,0,0	0.0016,0.02,0,0		
PLANET_EARTH_ANTARCTICA_CONT_ICE_BODIES									5e-5,0.4,0.4,0.2	0.005,0.3,0.4,0.15				0.01,0.3,0.4,0.15	99.97,0.001,0,0			0.008,0.08,0,0	8e-5,0.1,0,0			1e-7,0.2,0,0		1e-6,0.4,0,0			1.4e-5,0.08,0,0			
PLANET_EARTH_OTHER_CONT_ICE_BODIES									5e-5,0.4,0.4,0.2	0.005,0.3,0.4,0.15				0.02,0.3,0.4,0.15	99.96,0.001,0,0			0.008,0.08,0,0	7e-5,0.1,0,0			1e-7,0.2,0,0					1.4e-5,0.08,0,0			
PLANET_EARTH_USA_CONT_SURFACE		0.008,0.25,1.5,0.25	0.004,0.35,1.5,0.35	0.015,0.3,1.5,0.25	0.0005,0.4,2.24,0.33	0.002,0.4,1.76,0.41	0.001,0.45,2.2,0.35	0.02,0.35,1.31,0.27	0.05,0.35,1.3,0.25	5,0.15,0.9,0.15	0.015,0.3,2.1,0.25	0.001,0.5,2.0,0.4	62.7,0.06,0.25,0.06	27.3,0.08,0.3,0.08	4.9,0.2,2.0,0.3							0.003,0.5,1.5,0.4								0.002,0.25,2.9,0.3
PLANET_EARTH_CHINA_CONT_SURFACE		0.015,0.3,1.5,0.3	0.006,0.35,1.5,0.35	0.03,0.3,1.5,0.3	4e-4,0.45,2.4,0.4	0.01,0.3,1.5,0.3	0.001,0.5,2.2,0.4	0.02,0.35,1.44,0.36	0.06,0.35,1.3,0.3	5,0.18,0.9,0.18	0.02,0.3,2.1,0.3	0.0005,0.5,2.32,0.52	63.1,0.07,0.25,0.07	27.4,0.1,0.3,0.1	4.3,0.2,2.0,0.3							0.004,0.5,1.5,0.4								0.0015,0.3,2.9,0.3
PLANET_EARTH_EU_CONT_SURFACE		0.006,0.2,1.5,0.2	0.003,0.3,1.5,0.3	0.015,0.25,1.5,0.25	0.0003,0.35,2.2,0.28	0.002,0.35,1.61,0.32	0.0008,0.4,2.0,0.32	0.015,0.3,1.2,0.25	0.04,0.3,1.3,0.25	6,0.12,0.9,0.12	0.008,0.25,2.1,0.25	3e-4,0.45,2.0,0.4	61.8,0.05,0.25,0.05	27.4,0.08,0.3,0.08	4.8,0.2,2.0,0.3							0.002,0.45,1.5,0.4								0.002,0.25,2.7,0.3
PLANET_EARTH_RUSSIA_CONT_SURFACE		0.02,0.3,1.5,0.3	0.005,0.35,1.66,0.39	0.03,0.3,1.5,0.3	8e-4,0.4,2.4,0.35	0.003,0.45,1.99,0.46	0.0015,0.45,2.2,0.35	0.02,0.35,1.6,0.4	0.06,0.35,1.44,0.33	5,0.18,0.9,0.18	0.015,0.35,2.1,0.3	0.001,0.45,2.31,0.46	63.1,0.07,0.25,0.07	26.4,0.1,0.3,0.1	5.3,0.2,2.0,0.3							0.005,0.45,1.5,0.35								0.003,0.25,2.8,0.3
PLANET_EARTH_INDIA_CONT_SURFACE		0.02,0.3,1.5,0.3	0.008,0.35,1.5,0.3	0.015,0.35,1.87,0.37	3e-4,0.45,2.4,0.4	0.003,0.4,1.99,0.46	0.0005,0.5,2.44,0.44	0.015,0.35,1.71,0.43	0.04,0.4,1.6,0.37	5,0.2,0.9,0.18	0.012,0.35,2.1,0.3	0.0003,0.5,2.77,0.62	63.8,0.08,0.25,0.08	27.9,0.1,0.3,0.1	3.2,0.2,2.0,0.3							0.003,0.5,1.71,0.46								0.001,0.3,3.5,0.35
PLANET_EARTH_JAPAN_CONT_SURFACE		0.002,0.3,1.88,0.38	0.001,0.4,1.87,0.44	0.005,0.35,1.87,0.37	2e-4,0.4,2.4,0.35	0.001,0.4,1.98,0.46	3e-4,0.5,2.2,0.4	0.04,0.3,1.2,0.25	0.02,0.35,1.53,0.35	5,0.15,0.9,0.15	0.002,0.35,2.33,0.33	0.0001,0.5,2.61,0.59	65.3,0.06,0.25,0.06	25.4,0.08,0.3,0.08	4.3,0.2,2.0,0.3							0.001,0.5,1.75,0.47								0.003,0.25,2.3,0.25
PLANET_EARTH_ANTARCTICA_CONT_SURFACE		0.01,0.7,1.5,0.6	0.005,0.8,1.5,0.7	0.02,0.7,1.5,0.6	5e-4,0.8,2.4,0.7	0.002,0.8,1.5,0.7	0.001,0.8,2.2,0.7	0.02,0.7,1.2,0.6	0.03,0.7,1.3,0.6	4,0.5,0.9,0.4	0.005,0.6,2.1,0.5	3e-4,0.8,2.0,0.7	64.4,0.2,0.25,0.15	25.5,0.25,0.3,0.2	6,0.4,0.6,0.3							0.003,0.8,1.5,0.6								
