	is_atmosphere	is_surface	is_deposits
Type	BOOL	BOOL	BOOL
Prefix/STRATUM_GROUP_			
# common/reused			
BULK			x
ATMOSPHERE	x		
OCEAN			
POLAR_SHADED_REGOLITH		x	x
REGOLITH		x	x
SURFACE		x	x
NEAR_SURFACE			x
SUBSURFACE			x
CRUST			x
DEEP_CRUST			x
CRUST_MANTLE			x
MANTLE			x
CORE			x
INTERIOR			x
MOL_H_ENVELOPE			x
MET_H_ENVELOPE			x
OUTER_SHELL			x
ICE_SURFACE			x
OUTER_ICE_SHELL			x
ICE_SHELL			x
INNER_ICE			x
SUBSURFACE_OCEAN			x
# Earth-specific			
ANTARCTIC_CONT_ICE_BODIES			x
ANTARCTIC_CONT_SURFACE		x	x
ANTARCTIC_CONT_SHELF			x
ANTARCTIC_CONT_NEAR_SURFACE			x
ANTARCTIC_CONT_SUBSURFACE			x
ANTARCTIC_CONT_DEEP_SUBSURFACE			x
ANTARCTIC_CONT_EXTREME_SUBSURFACE			x
ANTARCTIC_CONT_ULTRA_SUBSURFACE			x
ANTARCTIC_CONT_LOWER_CRUST			x
CONT_ICE_BODIES			x
CONT_SURFACE		x	x
CONT_SHELF			x
CONT_NEAR_SURFACE			x
CONT_SUBSURFACE			x
CONT_DEEP_SUBSURFACE			x
CONT_EXTREME_SUBSURFACE			x
CONT_ULTRA_SUBSURFACE			x
CONT_LOWER_CRUST			x
OCEAN_FLOOR			x
OCEAN_CRUST			x
# Moon-specific			
CRUST_TERRAE			x
CRUST_MARIA			x
# Mars-specific			
NORTH_POLAR_CAP			x
SOUTH_POLAR_CAP			x
# Titan-specific			
HYDROCARBON_BODIES			
