id,en
MOON_MOON,Luna
FACILITY_COLONY,Colony
FACILITY_CONSTRUCTION_YARD,Construction Yard
FACILITY_HABITAT,Space Habitat
FACILITY_HOMEWORLD,Homeworld
FACILITY_MINE,Mine
FACILITY_RESORT,Resort
FACILITY_SPACE_FARM,Space Farm
FACILITY_SPACEPORT,Spaceport
FACILITY_STATION,Station
MARKET_CHICAGO_MERC,Chicago Merc
MARKET_INTERPL_CYBER_MARKET,Interpl Services Mkt
MODULE_SOLAR_ARRAYS,Solar Arrays
MODULE_GEOTHERMAL_PLANTS,Geothermal Plants
MODULE_HYDROELECTRIC_DAMS,Hydroelectric Dams
MODULE_WIND_FARMS,Wind Farms
MODULE_TIDAL_POWER_STATIONS,Tidal Power Stations
MODULE_COMBUSTION_POWER_PLANTS,Combustion Power Plants
MODULE_FUEL_CELLS,Fuel Cells
MODULE_LEU_NUCLEAR_PLANTS,LEU Nuclear Plants
MODULE_HEU_NUCLEAR_REACTORS,HEU Nuclear Reactors
MODULE_THORIUM_NUCLEAR_PLANTS,Thorium Nuclear Plants
MODULE_D_T_FUSION_PLANTS,D-T Fusion Plants
MODULE_D_3HE_FUSION_PLANTS,D-³He Fusion Plants
MODULE_3HE_3HE_FUSION_PLANTS,³He-³He Fusion Plants
MODULE_RADIOISOTOPE_GENERATORS,Radioisotope Generators
MODULE_CONT_SURFACE_DRILLING_RIGS,Drilling Rigs (surface)
MODULE_CONT_NEAR_SURFACE_DRILLING_RIGS,Drilling Rigs (near-surface)
MODULE_CONT_SUBSURFACE_DRILLING_RIGS,Drilling Rigs (subsurface)
MODULE_CONT_DEEP_SUBSURFACE_DRILLING_RIGS,Drilling Rigs (deep subsurface)
MODULE_CONT_EXTREME_SUBSURFACE_DRILLING_RIGS,Drilling Rigs (extreme subsurface)
MODULE_CONT_SURFACE_MINES,Mines (surface)
MODULE_CONT_NEAR_SURFACE_MINES,Mines (near-surface)
MODULE_CONT_SUBSURFACE_MINES,Mines (subsurface)
MODULE_CONT_DEEP_SUBSURFACE_MINES,Mines (deep subsurface)
MODULE_CONT_SURFACE_QUARRIES,Quarries
MODULE_ATMOSPHERE_PROCESSORS,Atmosphere Processors
MODULE_REGOLITH_VOLATILES_EXTRACTION_PLANTS,Volatiles Extraction Plants
MODULE_HYDROCARBON_BODIES_PROCESSORS,Hydrocarbon Processors
MODULE_OCEAN_DESALINATION_PLANTS,Desalination Plants
MODULE_CONT_SURFACE_BRINE_PROCESSING_PLANTS,Brine Processing Plants
MODULE_OIL_REFINERIES,Oil Refineries
MODULE_IRON_NICKEL_REFINERIES,Iron-Nickel Refineries
MODULE_STEEL_MILLS,Steel Mills
MODULE_SOLAR_FURNACES,Solar Furnaces
MODULE_ALUMINIUM_SMELTERS,Aluminium Smelters
MODULE_INDUST_METALS_SMELTERS,Industrial Metals Smelters
MODULE_PRECIOUS_METALS_REFINERIES,Precious Metals Refineries
MODULE_RARE_EARTHS_REFINERIES,Rare Earths Refineries
MODULE_URANIUM_PROCESSING_PLANTS,Uranium Processing Plants
MODULE_REGOLITH_PROCESSING_PLANTS,Regolith Processing Plants
MODULE_ISOTOPE_SEPARATION_PLANTS,Isotope Separation Plants
MODULE_RECYC_CENTERS,Recycling Centers
MODULE_INDUST_RECYC_FACILITIES,Industrial Recycling Facilities
MODULE_NUCLEAR_FUEL_REPROCESSING_PLANTS,Nuclear Fuel Reprocessing Plants
MODULE_ELECTROLYSIS_PLANTS,Electrolysis Plants
MODULE_CATALYTIC_REACTOR_PLANTS,Catalytic Reactor Plants
MODULE_GASIFICATION_PLANTS,Gasification Plants
MODULE_PYROLYSIS_PLANTS,Pyrolysis Plants
MODULE_POLYMER_PLANTS,Polymer Plants
MODULE_CHEMICAL_PLANTS,Chemical Plants
MODULE_FINE_CHEMICALS_PLANTS,Fine Chemicals Plants
MODULE_CONCRETE_PLANTS,Concrete Plants
MODULE_GLASS_CERAMICS_PLANTS,Glass/Ceramics Plants
MODULE_SEMICONDUCTOR_MAT_FABS,Semiconductor Materials Fabs
MODULE_PROPELLANT_PLANTS,Propellant Plants
MODULE_FERTILIZER_PLANTS,Fertilizer Plants
MODULE_CONSTRUCTION_YARDS,Construction Yards
MODULE_SPACE_YARDS,Space Yards
MODULE_TRANSPORT_FACTORIES,Transport Factories
MODULE_METAL_FAB_WORKS,Metal Fabrication Works
MODULE_COMPOSITES_FACILITIES,Composites Facilities
MODULE_TEXTILES_MILLS,Textiles Mills
MODULE_HEAVY_MANUF_PLANTS,Heavy Manufacturing Plants
MODULE_PRECISION_MANUF_PLANTS,Precision Manufacturing Plants
MODULE_ELECTRONICS_FACTORIES,Electronics Factories
MODULE_ADVANCED_PROCESSOR_FABS,Advanced Processor Fabs
MODULE_ROBOTICS_FACTORIES,Robotics Factories
MODULE_SOLAR_PANEL_FACTORIES,Solar Panel Factories
MODULE_BATTERY_FACTORIES,Battery Factories
MODULE_NUCLEAR_FUEL_FAB_PLANTS,Nuclear Fuel Fabrication Plants
MODULE_CONSUMER_GOODS_FACTORIES,Consumer Goods Factories
MODULE_CREW_SYSTEMS,Crew Systems
MODULE_CITIES_TOWNS,Cities & Towns
MODULE_INDUST_FARMS,Industrial Farms
MODULE_CONTROLLED_ENV_FARMS,Controlled-Environment Farms
MODULE_ARTISANAL_FARMS,Artisanal Farms
MODULE_ARTISANAL_WORKSHOPS,Artisanal Workshops
MODULE_COMMERCIAL_FISHING_FLEETS,Commercial Fishing Fleets
MODULE_AQUACULTURE_FARMS,Aquaculture Farms
MODULE_CONTROLLED_ENV_AQUACULTURE_FACILITIES,Controlled-Environment Aquaculture Facilities
MODULE_FORESTRY_OPS,Forestry Operations
MODULE_ALGAL_CULTIVATION_FACILITIES,Algal Cultivation Facilities
MODULE_BIOREACTOR_FACILITIES,Bioreactor Facilities
MODULE_FOOD_PROCESSING_PLANTS,Food Processing Plants
MODULE_BIOGAS_DIGESTERS,Biogas Digesters
MODULE_BIOMASS_CONVERSION_PLANTS,Biomass Conversion Plants
MODULE_PHARMACEUTICAL_PLANTS,Pharmaceutical Plants
MODULE_SOIL_CONDITIONING_FACILITIES,Soil Conditioning Facilities
MODULE_WASTEWATER_TREATMENT_PLANTS,Wastewater Treatment Plants
OP_GROUP_SOLAR_POWER,Solar Power
OP_GROUP_KINETIC_POWER,Kinetic Power
OP_GROUP_GEOTHERMAL_POWER,Geothermal Power
OP_GROUP_COMBUSTION_POWER,Combustion Power
OP_GROUP_FUEL_CELLS,Fuel Cells
OP_GROUP_NUCLEAR_POWER,Nuclear Power
OP_GROUP_ATMOSPHERE,Atmosphere
OP_GROUP_CONT_ICE_BODIES,Continental Ice Bodies
OP_GROUP_CONT_SURFACE,Continental Surface
OP_GROUP_CONT_SHELF,Continental Shelf
OP_GROUP_CONT_NEAR_SURFACE,Cont Near-Surface
OP_GROUP_CONT_SUBSURFACE,Cont Subsurface
OP_GROUP_CONT_DEEP_SUBSURFACE,Cont Deep Subsurf
OP_GROUP_CONT_EXTREME_SUBSURFACE,Cont Extreme Subsurf
OP_GROUP_CONT_ULTRA_SUBSURFACE,Cont Ultra Subsurf
OP_GROUP_CONT_LOWER_CRUST,Cont Lower Crust
OP_GROUP_ANTARCTIC_CONT_ICE_BODIES,Antarctic Cont Ice Bodies
OP_GROUP_ANTARCTIC_CONT_SURFACE,Antarctic Cont Surface
OP_GROUP_ANTARCTIC_CONT_SHELF,Antarctic Cont Shelf
OP_GROUP_ANTARCTIC_CONT_NEAR_SURFACE,Antarctic Near-Surface
OP_GROUP_ANTARCTIC_CONT_SUBSURFACE,Antarctic Subsurf
