id,en
TXT_3HE_3HE_FUSION,³He-³He Fusion
TXT_AIR,Air
TXT_ALUMINIUM_MINING,Aluminium Mining
TXT_BRINE_EXTRACTION,Brine Extraction
TXT_COAL_MINING,Coal Mining
TXT_D_3HE_FUSION,D-³He Fusion
TXT_D_T_FUSION,D-T Fussion
TXT_GAS,Gas
TXT_GAS_DRILLING,Gas Drilling
TXT_GEOTHERMAL,Geothermal
TXT_HEU_FISSION,HEU Fission
TXT_HYDRO,Hydro
TXT_INDUST_METALS_MINING,Indust Metals Mining
TXT_INDUST_MINERALS_MINING,Indust Minerals Mining
TXT_IRON_MINING,Iron Mining
TXT_LEU_FISSION,LEU Fission
TXT_MOONS,Moons
TXT_OFF_EARTH,Off-Earth
TXT_OIL_DRILLING,Oil Drilling
TXT_ORGANICS_MINING,Organics Mining
TXT_PRECIOUS_METALS_MINING,Precious Metals Mining
TXT_RADIOISOTOPE,Radioisotope
TXT_RARE_EARTHS_MINING,Rare Earths Mining
TXT_REGOLITH_QUARRYING,Regolith Quarrying
TXT_SOLAR,Solar
TXT_SULFUR_MINING,Sulfur Mining
TXT_SPACE,Space
TXT_SPECIES,Species
TXT_SPECTRAL,Spectral
TXT_STONE_QUARRYING,Stone Quarrying
TXT_THEORY,Theory
TXT_THORIUM_FISSION,Thorium Fission
TXT_TIDAL,Tidal
TXT_URANIUM_MINING,Uranium Mining
TXT_VOLATILES_EXTRACTION,Volatiles Extraction
TXT_WIND,Wind
